"CitationID","StudyID","Site","Latitude","Longitude","DepthElevation","Day","Month","Year","Genus","Species","GenusSpecies","Taxa","Organism","ObsEventID","ObsID","RepeatType","Treatment","ScaleValue","ScaleUnits","Driver","BioType","ValueType","Value","SamplingCount"
"Dupont, et al.2010","327_Vis","LB",27.58273,-83.071631,NA,NA,1,2005,NA,NA,NA,"fish","small reef fish","327_Vis_27.58273_-83.071631_NA_1_2005","327_Vis_27.58273_-83.071631_NA_1_2005_LB","permanent","control",1689,"m^3","Artificial reef creation, red tide","marine","richness",43.98395722,3
"Dupont, et al.2010","327_Vis","LB",27.58273,-83.071631,NA,NA,12,2005,NA,NA,NA,"fish","small reef fish","327_Vis_27.58273_-83.071631_NA_12_2005","327_Vis_27.58273_-83.071631_NA_12_2005_LB","permanent","control",1689,"m^3","Artificial reef creation, red tide","marine","richness",21.92513369,3
"Dupont, et al.2010","327_Vis","LB",27.58273,-83.071631,NA,NA,6,2006,NA,NA,NA,"fish","small reef fish","327_Vis_27.58273_-83.071631_NA_6_2006","327_Vis_27.58273_-83.071631_NA_6_2006_LB","permanent","control",1689,"m^3","Artificial reef creation, red tide","marine","richness",31.01604278,3
"Dupont, et al.2010","327_Vis","LB",27.58273,-83.071631,NA,NA,2,2006,NA,NA,NA,"fish","small reef fish","327_Vis_27.58273_-83.071631_NA_2_2006","327_Vis_27.58273_-83.071631_NA_2_2006_LB","permanent","control",1689,"m^3","Artificial reef creation, red tide","marine","richness",25,3
"Dupont, et al.2010","327_Vis","RM",27.587836,-83.013406,NA,NA,1,2005,NA,NA,NA,"fish","small reef fish","327_Vis_27.587836_-83.013406_NA_1_2005","327_Vis_27.587836_-83.013406_NA_1_2005_RM","permanent","control",1689,"m^3","Artificial reef creation, red tide","marine","richness",30.88235294,5
"Dupont, et al.2010","327_Vis","RM",27.587836,-83.013406,NA,NA,12,2005,NA,NA,NA,"fish","small reef fish","327_Vis_27.587836_-83.013406_NA_12_2005","327_Vis_27.587836_-83.013406_NA_12_2005_RM","permanent","control",1689,"m^3","Artificial reef creation, red tide","marine","richness",10.96256684,5
"Dupont, et al.2010","327_Vis","RM",27.587836,-83.013406,NA,NA,6,2006,NA,NA,NA,"fish","small reef fish","327_Vis_27.587836_-83.013406_NA_6_2006","327_Vis_27.587836_-83.013406_NA_6_2006_RM","permanent","control",1689,"m^3","Artificial reef creation, red tide","marine","richness",20.05347594,5
"Dupont, et al.2010","327_Vis","RM",27.587836,-83.013406,NA,NA,2,2006,NA,NA,NA,"fish","small reef fish","327_Vis_27.587836_-83.013406_NA_2_2006","327_Vis_27.587836_-83.013406_NA_2_2006_RM","permanent","control",1689,"m^3","Artificial reef creation, red tide","marine","richness",19.2513369,5
"Dupont, et al.2010","327_Vis","Ref",27.58273,-83.071631,NA,NA,1,2005,NA,NA,NA,"fish","small reef fish","327_Vis_27.58273_-83.071631_NA_1_2005","327_Vis_27.58273_-83.071631_NA_1_2005_Ref","permanent","control",1689,"m^3","Red Tide","marine","richness",25.13368984,8
"Dupont, et al.2010","327_Vis","Ref",27.58273,-83.071631,NA,NA,12,2005,NA,NA,NA,"fish","small reef fish","327_Vis_27.58273_-83.071631_NA_12_2005","327_Vis_27.58273_-83.071631_NA_12_2005_Ref","permanent","control",1689,"m^3","Red Tide","marine","richness",10.16042781,8
