"","Study.ID","Reference","Site","Lat","Long"
"1","BIOMON","Daan, 2009","Dogger Bank",55.12,3.366
"2","BIOMON","Daan, 2009","Oyster grounds",54.031,3.981
"3","BIOMON","Daan, 2009","coastal",52.335,4.447
"4","BIOMON","Daan, 2009","offshore",52.886,3.96
"5","BeetsFried03","Jeffrey, 2005","FourSites",18.322,-64.688
"6","Beldade","Beldade, 2006","Arrabida",38.457,-9.002
"7","Beukema","Beukema, 2011","Wadden15",52.931,4.863
"8","Edmunds","Edmunds, 2013","Cabritte",18.308,-64.722
"9","Edmunds","Edmunds, 2013","Cabritte",18.308,-64.722
"10","Edmunds","Edmunds, 2013","EastTektite",18.311,-64.723
"11","Edmunds","Edmunds, 2013","EastTektite",18.311,-64.723
"12","Edmunds","Edmunds, 2013","Europa",18.317,-64.73
"13","Edmunds","Edmunds, 2013","Europa",18.317,-64.73
"14","Edmunds","Edmunds, 2013","NeptunesTable",18.317,-64.721
"15","Edmunds","Edmunds, 2013","NeptunesTable",18.317,-64.721
"16","Edmunds","Edmunds, 2013","WestLittleLameshur",18.317,-64.728
"17","Edmunds","Edmunds, 2013","WestLittleLameshur",18.317,-64.728
"18","Edmunds","Edmunds, 2013","WhitePoint",18.314,-64.731
"19","Edmunds","Edmunds, 2013","WhitePoint",18.314,-64.731
"20","Elahi_Qmob","Elahi, 2013","ON",48.605,-123.092
"21","Elahi_Qmob","Elahi, 2013","ON",48.605,-123.092
"22","Elahi_Qmob","Elahi, 2013","PG",48.559,-122.988
"23","Elahi_Qmob","Elahi, 2013","PG",48.559,-122.988
"24","Elahi_Qmob","Elahi, 2013","SC",48.551,-123.005
"25","Elahi_Qmob","Elahi, 2013","SC",48.551,-123.005
"26","Elahi_Qsess","Elahi, 2013","ON",48.605,-123.092
"27","Elahi_Qsess","Elahi, 2013","ON",48.605,-123.092
"28","Elahi_Qsess","Elahi, 2013","PG",48.559,-122.988
"29","Elahi_Qsess","Elahi, 2013","PG",48.559,-122.988
"30","Elahi_Qsess","Elahi, 2013","SC",48.551,-123.005
"31","Elahi_Qsess","Elahi, 2013","SC",48.551,-123.005
"32","Elahi_Tmob","Elahi, 2013","ON",48.605,-123.092
"33","Elahi_Tmob","Elahi, 2013","ON",48.605,-123.092
"34","Elahi_Tmob","Elahi, 2013","PG",48.559,-122.988
"35","Elahi_Tmob","Elahi, 2013","PG",48.559,-122.988
"36","Elahi_Tmob","Elahi, 2013","SC",48.551,-123.005
"37","Elahi_Tmob","Elahi, 2013","SC",48.551,-123.005
"38","FriedBeets08","Friedlander, 2008","Cocoloba",18.315,-64.76
"39","FriedBeets08","Friedlander, 2008","Yawzi",18.315,-64.726
"40","FriedHawaii","Friedlander, 2005","HanaleiBay",22.21,-159.51
"41","Good_epif","Duffy, 2013","MBL",37.2225,-76.385
"42","Good_pred","Duffy, 2013","MBL",37.2225,-76.385
"43","Hall","Hall, 1996","Howdon",54.987,-1.496
"44","Hall","Hall, 1996","NorthShields",55.012,-1.424
"45","Hall","Hall, 1996","Quayside",54.97,-1.588
"46","Hall","Hall, 1996","Scotswood",54.966,-1.689
"47","Hall","Hall, 1996","SouthShields",54.988,-1.452
"48","IMOS","IMOS, 2015","Darwin",-12.417,130.783
"49","IMOS","IMOS, 2015","Esperance",-33.9333,121.85
"50","IMOS","IMOS, 2015","Kangaroo Island",-35.836,136.448
"51","IMOS","IMOS, 2015","Maria Island",-42.597,148.233
"52","IMOS","IMOS, 2015","Ningaloo",-21.871,113.947
"53","IMOS","IMOS, 2015","North Stradbroke",-27.389,153.58
"54","IMOS","IMOS, 2015","Port Hacking",-34.1192,151.2267
"55","IMOS","IMOS, 2015","Rottnest Island",-32,115.417
"56","IMOS","IMOS, 2015","Yongala",-19.306,147.26
"57","KFMP","Kushner, 2013","KFMP10",33.98983333,-119.5630667
"58","KFMP","Kushner, 2013","KFMP11",34.00775,-119.4343833
"59","KFMP","Kushner, 2013","KFMP12",34.01586667,-119.3717333
"60","KFMP","Kushner, 2013","KFMP13",34.01703333,-119.3611333
