"","QC","Study.ID","Reference","Collector","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Loc","Event","Event.type","A.priori.","Year.of.Event","Notes","Source","Site","n1","n2","sub1","sub2","I1","I2","ind1_error","ind1_error_type","ind2_error","ind2_error_type","P1","P2","PltSz","PltSz..units.","T1","T1m","T2","T2m","SppR1","SppR1.Error","SppR1.Error.Type","SppR2","SppR2.Error","SppR2.Error.Type","Shan1","Shan1.Error","Shan1.Error.Type","Shan2","Shan2.Error","Shan2.Error.Type","Simps1","Simps1.Error","Simps1.Error.Type","Simps2","Simps2.Error","Simps2.Error.Type","Even1","Even1.Error","Even1.Error.Type","Even2","Even2.Error","Even2.Error.Type","event_category","expected_change","event_notes","SppR1.SD","SppR2.SD","Shan1.SD","Shan2.SD","Simps1.SD","Simps2.SD","Even1.SD","Even2.SD","PlotSize","PlotSizeUnits","id","taxa","samp_method","date1","date2"
"1","JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Artificial reef creation, red tide","Yes","2001, 2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = limestone boulders","Figure 5","LB",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",2005,"1",2005,"12",43.98395722,NA,NA,21.92513369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multiple","Uncertain","Positive from new habitat/new invaders?",NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",1,"fish","Vis",2005-01-01,2005-12-01
"2","JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Artificial reef creation, red tide","Yes","2001, 2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = limestone boulders","Figure 5","LB",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",2005,"12",2006,"6",21.92513369,NA,NA,31.01604278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multiple","Uncertain","Positive from new habitat/new invaders?",NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",2,"fish","Vis",2005-12-01,2006-06-01
"3","JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Artificial reef creation, red tide","Yes","2001, 2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = limestone boulders","Figure 5","LB",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",2006,"6",2006,"2",31.01604278,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multiple","Uncertain","Positive from new habitat/new invaders?",NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",3,"fish","Vis",2006-06-01,2006-02-01
"4","JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Artificial reef creation, red tide","Yes","2001, 2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = limestone boulders","Figure 5","LB",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",2006,"2",2007,"1",25,NA,NA,34.75935829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multiple","Uncertain","Positive from new habitat/new invaders?",NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",4,"fish","Vis",2006-02-01,2007-01-01
"5","JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Artificial reef creation, red tide","Yes","2001, 2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = reef modules","Figure 5","RM",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",2005,"1",2005,"12",30.88235294,NA,NA,10.96256684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multiple","Uncertain","Positive from new habitat/new invaders?",NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",5,"fish","Vis",2005-01-01,2005-12-01
"6","JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Artificial reef creation, red tide","Yes","2001, 2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = reef modules","Figure 5","RM",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",2005,"12",2006,"6",10.96256684,NA,NA,20.05347594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multiple","Uncertain","Positive from new habitat/new invaders?",NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",6,"fish","Vis",2005-12-01,2006-06-01
"7","JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Artificial reef creation, red tide","Yes","2001, 2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = reef modules","Figure 5","RM",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",2006,"6",2006,"2",20.05347594,NA,NA,19.2513369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multiple","Uncertain","Positive from new habitat/new invaders?",NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",7,"fish","Vis",2006-06-01,2006-02-01
"8","JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Artificial reef creation, red tide","Yes","2001, 2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months. Artificial reef = reef modules","Figure 5","RM",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",2006,"2",2007,"1",19.2513369,NA,NA,29.27807487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multiple","Uncertain","Positive from new habitat/new invaders?",NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",8,"fish","Vis",2006-02-01,2007-01-01
"9","JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Red Tide","Yes","2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months","Figure 5","Ref",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",2005,"1",2005,"12",25.13368984,NA,NA,10.16042781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Algal Blom","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",9,"fish","Vis",2005-01-01,2005-12-01
"10","JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Red Tide","Yes","2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months","Figure 5","Ref",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",2005,"12",2006,"6",10.16042781,NA,NA,20.05347594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Algal Blom","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",10,"fish","Vis",2005-12-01,2006-06-01
