"QC","Study.ID","Reference","Collector","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Loc","Event","Event.type","A.priori.","Year.of.Event","Notes","Source","Site","PltSz","PltSz..units.","event_category","expected_change","event_notes","PlotSize","PlotSizeUnits","id","taxa","samp_method","n1","sub1","I1","ind1_error","ind1_error_type","P1","T1","T1m","SppR1","SppR1.Error","SppR1.Error.Type","Shan1","Shan1.Error","Shan1.Error.Type","Simps1","Simps1.Error","Simps1.Error.Type","Even1","Even1.Error","Even1.Error.Type","SppR1.SD","Shan1.SD","Simps1.SD","Even1.SD","n2","sub2","I2","ind2_error","ind2_error_type","P2","T2","T2m","SppR2","SppR2.Error","SppR2.Error.Type","Shan2","Shan2.Error","Shan2.Error.Type","Simps2","Simps2.Error","Simps2.Error.Type","Even2","Even2.Error","Even2.Error.Type","SppR2.SD","Shan2.SD","Simps2.SD","Even2.SD","Duration","yi.SppR.MD","vi.SppR.MD","yi.SppR.SMD","vi.SppR.SMD","yi.SppR.ROM","vi.SppR.ROM","yi.SppR.SMDH","vi.SppR.SMDH","yi.Shan.MD","vi.Shan.MD","yi.Shan.SMD","vi.Shan.SMD","yi.Shan.ROM","vi.Shan.ROM","yi.Shan.SMDH","vi.Shan.SMDH","yi.Even.MD","vi.Even.MD","yi.Even.SMD","vi.Even.SMD","yi.Even.ROM","vi.Even.ROM","yi.Even.SMDH","vi.Even.SMDH","temp_id","Scale","AbundUnitsOrig","study_sub_site","studyName","PltSzUnits","SiAreaCalc","SiLinearExtentUnits","Event_type","Lat","Long","A_priori","Year_of_Event"
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","16",125000,"cm^3",NA,NA,"",0.125,"m^3",1015,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,49.22539552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2010,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,7.77460448,NA,NA,NA,0.146641608400046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","19",125000,"cm^3",NA,NA,"",0.125,"m^3",1016,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,35.91534826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,11.08465174,NA,NA,NA,0.268982869446234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","21",125000,"cm^3",NA,NA,"",0.125,"m^3",1018,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,31.23484693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,34.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,3.0984864,NA,NA,NA,0.0945823391231979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","22",125000,"cm^3",NA,NA,"",0.125,"m^3",1019,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,41.79987672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2008,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,-1.79987672,NA,NA,NA,-0.0440139361301286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","26",125000,"cm^3",NA,NA,"",0.125,"m^3",1021,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,29.70412985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,39.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,9.96253682,NA,NA,NA,0.289225116197107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","31",125000,"cm^3",NA,NA,"",0.125,"m^3",1022,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,24.78117937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,4.21882063,NA,NA,NA,0.157211361294128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","33",125000,"cm^3",NA,NA,"",0.125,"m^3",1027,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,8.247380316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,19.752619684,NA,NA,NA,1.22230889770885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","34",125000,"cm^3",NA,NA,"",0.125,"m^3",1023,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,25.34415451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2008,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,8.65584549,NA,NA,NA,0.293812412490735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","37",125000,"cm^3",NA,NA,"",0.125,"m^3",1024,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,15.584549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2008,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,12.415451,NA,NA,NA,0.585924535456106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","41",125000,"cm^3",NA,NA,"",0.125,"m^3",1026,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,16.71049928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2008,NA,29.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,12.62283405,NA,NA,NA,0.562687304421227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","43",125000,"cm^3",NA,NA,"",0.125,"m^3",1025,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,19.37538525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,22.62461475,NA,NA,NA,0.773666159370672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","46",125000,"cm^3",NA,NA,"",0.125,"m^3",1020,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,31.07458393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,14.92541607,NA,NA,NA,0.392251148401587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","48",125000,"cm^3",NA,NA,"",0.125,"m^3",1017,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,31.32319704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,17.67680296,NA,NA,NA,0.447461355569136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","53",125000,"cm^3",NA,NA,"",0.125,"m^3",1014,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,35.43661393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,21.56338607,NA,NA,NA,0.475305690398155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","54",125000,"cm^3",NA,NA,"",0.125,"m^3",1013,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,32.29093898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,24.70906102,NA,NA,NA,0.568264603895965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","56",125000,"cm^3",NA,NA,"",0.125,"m^3",1012,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,39.14320937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,16.85679063,NA,NA,NA,0.358124734939229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","58",125000,"cm^3",NA,NA,"",0.125,"m^3",1011,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,50.19519211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2008,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,9.80480789,NA,NA,NA,0.178425314812302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","6",125000,"cm^3",NA,NA,"",0.125,"m^3",1008,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,49.48017259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,9.51982741,NA,NA,NA,0.175965408311525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
