"QC","Study.ID","Reference","Collector","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Loc","Event","Event.type","A.priori","Year.of.Event","Notes","Source","Site","PltSz","PltSz..units.","event_category","expected_change","event_notes","PlotSize","PlotSizeUnits","id","taxa","samp_method","n1","sub1","I1","P1","T1","T1m","SppR1","Shan1","Simps1","Even1","SppR1.SD","Shan1.SD","Simps1.SD","Even1.SD","Ind1.SD","n2","sub2","I2","P2","T2","T2m","SppR2","Shan2","Simps2","Even2","SppR2.SD","Shan2.SD","Simps2.SD","Even2.SD","Ind2.SD","Duration","yi_SppR_MD","vi_SppR_MD","yi_SppR_SMD","vi_SppR_SMD","yi_SppR_ROM","vi_SppR_ROM","yi_SppR_SMDH","vi_SppR_SMDH","yi_Shan_MD","vi_Shan_MD","yi_Shan_SMD","vi_Shan_SMD","yi_Shan_ROM","vi_Shan_ROM","yi_Shan_SMDH","vi_Shan_SMDH","yi_Even_MD","vi_Even_MD","yi_Even_SMD","vi_Even_SMD","yi_Even_ROM","vi_Even_ROM","yi_Even_SMDH","vi_Even_SMDH","temp_id","Scale","AbundUnitsOrig","study_sub_site","studyName","SiAreaCalc","SiLinearExtentUnits","site_id","mean_imps","mean_invs","mean_nuts","mean_pests","total_ltc","total_vocc","sliced_ltc","sliced_vocc"
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","16",125000,"cm^3",NA,NA,NA,0.125,"m^3",1,"algae","Multiple",1,NA,NA,NA,1955,NA,49.22539552,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2010,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,55,7.77460448,NA,NA,NA,0.146641608400046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_16",4.46899390220642,274.552703857422,0.440305516123772,0.00121292215771973,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","19",125000,"cm^3",NA,NA,NA,0.125,"m^3",2,"algae","Multiple",1,NA,NA,NA,1955,NA,35.91534826,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,54,11.08465174,NA,NA,NA,0.268982869446234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_19",3.38982367515564,1009.97454833984,0.63367560505867,0.00242487178184092,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","21",125000,"cm^3",NA,NA,NA,0.125,"m^3",3,"algae","Multiple",1,NA,NA,NA,1955,NA,31.23484693,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,34.33333333,NA,NA,NA,NA,NA,NA,NA,NA,54,3.0984864,NA,NA,NA,0.0945823391231979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_21",4.10187357664108,1827.93086751302,0.605525299906731,0.00159269871073775,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","22",125000,"cm^3",NA,NA,NA,0.125,"m^3",4,"algae","Multiple",1,NA,NA,NA,1955,NA,41.79987672,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2008,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,53,-1.79987672,NA,NA,NA,-0.0440139361301286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_22",4.66742897033691,432.269805908203,0.139742359519005,0.000371974019799381,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","26",125000,"cm^3",NA,NA,NA,0.125,"m^3",5,"algae","Multiple",1,NA,NA,NA,1955,NA,29.70412985,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,39.66666667,NA,NA,NA,NA,NA,NA,NA,NA,54,9.96253682,NA,NA,NA,0.289225116197107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_26",3.89221596717834,303.230448404948,0.156110992034276,0.000862460350617766,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","31",125000,"cm^3",NA,NA,NA,0.125,"m^3",6,"algae","Multiple",1,NA,NA,NA,1955,NA,24.78117937,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,54,4.21882063,NA,NA,NA,0.157211361294128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_31",3.26242637634277,173.505401611328,0.129398951927821,0.00055883836466819,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","33",125000,"cm^3",NA,NA,NA,0.125,"m^3",7,"algae","Multiple",1,NA,NA,NA,1955,NA,8.247380316,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,54,19.752619684,NA,NA,NA,1.22230889770885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_33",2.01824568212032,60.1372013092041,0.181169979274273,0.000651217080303468,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","34",125000,"cm^3",NA,NA,NA,0.125,"m^3",8,"algae","Multiple",1,NA,NA,NA,1955,NA,25.34415451,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2008,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,53,8.65584549,NA,NA,NA,0.293812412490735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_34",2.65878248214722,0,0.0499868094921112,0.000274940568488091,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","37",125000,"cm^3",NA,NA,NA,0.125,"m^3",9,"algae","Multiple",1,NA,NA,NA,1955,NA,15.584549,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2008,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,53,12.415451,NA,NA,NA,0.585924535456106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_37",3.60773360729218,177.317942301432,0.201656699180603,0.000312205015992125,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","41",125000,"cm^3",NA,NA,NA,0.125,"m^3",10,"algae","Multiple",1,NA,NA,NA,1955,NA,16.71049928,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2008,NA,29.33333333,NA,NA,NA,NA,NA,NA,NA,NA,53,12.62283405,NA,NA,NA,0.562687304421227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_41",1.66115236282349,0,0.0075084837153554,2.37214298977051e-05,NA,NA,NA,NA
