"x","y","location_key","QC","Study.ID","Reference","Collector","coral","plant","algae","fish","inverts","mobile.inverts","sessile.inverts","marine.mammals","phytoplankton","zooplankton","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Lat","Long","Loc","Event.","Event.type","A.priori.","Year.of.Event","Notes","Vis","Trwl","Line","Drdg","Trp","Source","Site","SiSz","SiSz..units.","PltSz","PltSz..units.","Expected.Change.Direction","Event.Notes","PlotSize","SiteSize","SiteSizeUnits","PlotSizeUnits","id","taxa","n1","sub1","I1","ind1_error","ind1_error_type","P1","T1","T1m","SppR1","SppR1.Error","SppR1.Error.Type","Shan1","Shan1.Error","Shan1.Error.Type","Simps1","Simps1.Error","Simps1.Error.Type","Even1","Even1.Error","Even1.Error.Type","SppR1.SD","Shan1.SD","Simps1.SD","Even1.SD","n2","sub2","I2","ind2_error","ind2_error_type","P2","T2","T2m","SppR2","SppR2.Error","SppR2.Error.Type","Shan2","Shan2.Error","Shan2.Error.Type","Simps2","Simps2.Error","Simps2.Error.Type","Even2","Even2.Error","Even2.Error.Type","Event.type.2","SppR2.SD","Shan2.SD","Simps2.SD","Even2.SD","Duration","yi.SppR.MD","vi.SppR.MD","yi.SppR.SMD","vi.SppR.SMD","yi.SppR.ROM","vi.SppR.ROM","yi.SppR.SMDH","vi.SppR.SMDH","yi.Shan.MD","vi.Shan.MD","yi.Shan.SMD","vi.Shan.SMD","yi.Shan.ROM","vi.Shan.ROM","yi.Shan.SMDH","vi.Shan.SMDH","yi.Even.MD","vi.Even.MD","yi.Even.SMD","vi.Even.SMD","yi.Even.ROM","vi.Even.ROM","yi.Even.SMDH","vi.Even.SMDH","rich_ROM_uw","rich_ROM_w","shan_ROM_uw","shan_ROM_w","rich_SMD_uw","rich_SMD_w","shan_SMD_uw","shan_SMD_w","Study.ID.y","Reference.y","Site.y","Shape","Source.y","Checked","Notes.y","mean_imps","raster_vel","raster_lin"
-68,12.29,"11_Curacao Island","Y",11,"Nagekjerken et al (2005)","PK",1,0,0,0,0,0,0,0,0,0,NA,NA,"Corals","coral reef",12.29,-68,"Curacao Island","No",NA,"Yes",NA,"Comparison between samples collected in 1972 and 2003 by the same lab. It includes %cover and species richness.",1,0,0,0,0,"Text","Curacao Island",2160,"m^2",240,"m^2",NA,NA,240,2160,"m^2","m^2","25","coral",1,9,NA,NA,NA,52.2,1973,6,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA,42.6,2003,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,-4,NA,NA,NA,-0.22314355131421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4.34494479497274,24.4381162467157,0.0373016566736467
9.520786,37.376755,"122_Bay","Y",122,"Touzri et al (2012)","PK",0,0,0,0,1,1,0,0,0,1,70,"uM","Zooplankton","estuarine mudflat",37.376755,9.520786,"Bay of Bizerte, Northern Tunisia","No",NA,"No",NA,"This paper examines the change in zooplankton abundance and diversity over two years in a bay and lagoon.",0,1,0,0,0,"Fig 5 & 6","Bay",0.182,"m^3",0.026,"m^3",NA,NA,0.026,0.182,"m^3","m^3","78","Mixed",1,7,3124.06999,NA,NA,NA,2004,1,NA,NA,NA,1.551470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1662.677501,NA,NA,NA,2005,1,NA,NA,NA,2.536764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.985294118,NA,NA,NA,0.491686283753329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5.49737644195557,12.7304840549154,0.0273187040733173
9.520786,37.376755,"122_Lagoon","Y",122,"Touzri et al (2012)","PK",0,0,0,0,1,1,0,0,0,1,70,"uM","Zooplankton","estuarine mudflat",37.376755,9.520786,"Bay of Bizerte, Northern Tunisia","No",NA,"No",NA,"This paper examines the change in zooplankton abundance and diversity over two years in a bay and lagoon.",0,1,0,0,0,"Fig 5 & 6","Lagoon",0.182,"m^3",0.026,"m^3",NA,NA,0.026,0.182,"m^3","m^3","79","Mixed",1,7,2136.424038,NA,NA,NA,2004,1,NA,NA,NA,1.316176471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2089.266082,NA,NA,NA,2005,1,NA,NA,NA,1.308823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.00735294199999981,NA,NA,NA,-0.00560225617612557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5.49737644195557,12.7304840549154,0.0273187040733173
1.304702729,54.66516293,"126_All Sites","JD",126,"Sonnewald et al, 2011","JD",0,0,0,1,1,1,1,0,0,0,1,"cm^2","fishes, including small cryptic fish","nearshore subtidal",55.579469,-4.175858,"Doggers Bank, North Sea","No",NA,"No",NA,"Used data from Sonnewald and Turkay 2011 because the data was more complete, therefore the reference information has been changed to reflect this",0,1,0,0,0,"Figure 2","All Sites",NA,NA,37,"nmi",NA,NA,68524,NA,NA,"m","80","Mixed",1,37,NA,NA,NA,NA,1991,6,61.12871287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37,NA,NA,NA,NA,2008,6,59.16831683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,-1.96039604,NA,NA,NA,-0.0325954782568424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,126,"Sonnewald et al, 2012","All Sites","point","Figure 1 - Sonnewald and Turkay 2011","Using google maps",NA,4.30813777446747,62.4462237303889,0.137664516371988
1.28741578,54.55594034,"126_All Sites","JD",126,"Sonnewald et al, 2011","JD",0,0,0,1,1,1,1,0,0,0,1,"cm^2","fishes, including small cryptic fish","nearshore subtidal",55.579469,-4.175858,"Doggers Bank, North Sea","No",NA,"No",NA,"Used data from Sonnewald and Turkay 2011 because the data was more complete, therefore the reference information has been changed to reflect this",0,1,0,0,0,"Figure 2","All Sites",NA,NA,37,"nmi",NA,NA,68524,NA,NA,"m","80","Mixed",1,37,NA,NA,NA,NA,1991,6,61.12871287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37,NA,NA,NA,NA,2008,6,59.16831683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,-1.96039604,NA,NA,NA,-0.0325954782568424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,126,"Sonnewald et al, 2012","All Sites","point","Figure 1 - Sonnewald and Turkay 2011","Using google maps",NA,4.34260654449463,62.4462237303889,0.137664516371988
1.495089149,54.72171784,"126_All Sites","JD",126,"Sonnewald et al, 2011","JD",0,0,0,1,1,1,1,0,0,0,1,"cm^2","fishes, including small cryptic fish","nearshore subtidal",55.579469,-4.175858,"Doggers Bank, North Sea","No",NA,"No",NA,"Used data from Sonnewald and Turkay 2011 because the data was more complete, therefore the reference information has been changed to reflect this",0,1,0,0,0,"Figure 2","All Sites",NA,NA,37,"nmi",NA,NA,68524,NA,NA,"m","80","Mixed",1,37,NA,NA,NA,NA,1991,6,61.12871287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37,NA,NA,NA,NA,2008,6,59.16831683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,-1.96039604,NA,NA,NA,-0.0325954782568424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,126,"Sonnewald et al, 2012","All Sites","point","Figure 1 - Sonnewald and Turkay 2011","Using google maps",NA,2.96132457256317,62.4462237303889,0.137664516371988
1.436192875,54.8263708,"126_All Sites","JD",126,"Sonnewald et al, 2011","JD",0,0,0,1,1,1,1,0,0,0,1,"cm^2","fishes, including small cryptic fish","nearshore subtidal",55.579469,-4.175858,"Doggers Bank, North Sea","No",NA,"No",NA,"Used data from Sonnewald and Turkay 2011 because the data was more complete, therefore the reference information has been changed to reflect this",0,1,0,0,0,"Figure 2","All Sites",NA,NA,37,"nmi",NA,NA,68524,NA,NA,"m","80","Mixed",1,37,NA,NA,NA,NA,1991,6,61.12871287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37,NA,NA,NA,NA,2008,6,59.16831683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,-1.96039604,NA,NA,NA,-0.0325954782568424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,126,"Sonnewald et al, 2012","All Sites","point","Figure 1 - Sonnewald and Turkay 2011","Using google maps",NA,4.27542579174042,62.4462237303889,0.137664516371988
1.361506472,54.87880473,"126_All Sites","JD",126,"Sonnewald et al, 2011","JD",0,0,0,1,1,1,1,0,0,0,1,"cm^2","fishes, including small cryptic fish","nearshore subtidal",55.579469,-4.175858,"Doggers Bank, North Sea","No",NA,"No",NA,"Used data from Sonnewald and Turkay 2011 because the data was more complete, therefore the reference information has been changed to reflect this",0,1,0,0,0,"Figure 2","All Sites",NA,NA,37,"nmi",NA,NA,68524,NA,NA,"m","80","Mixed",1,37,NA,NA,NA,NA,1991,6,61.12871287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37,NA,NA,NA,NA,2008,6,59.16831683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,-1.96039604,NA,NA,NA,-0.0325954782568424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,126,"Sonnewald et al, 2012","All Sites","point","Figure 1 - Sonnewald and Turkay 2011","Using google maps",NA,5.52151548862457,62.4462237303889,0.137664516371988
1.558792591,54.58854989,"126_All Sites","JD",126,"Sonnewald et al, 2011","JD",0,0,0,1,1,1,1,0,0,0,1,"cm^2","fishes, including small cryptic fish","nearshore subtidal",55.579469,-4.175858,"Doggers Bank, North Sea","No",NA,"No",NA,"Used data from Sonnewald and Turkay 2011 because the data was more complete, therefore the reference information has been changed to reflect this",0,1,0,0,0,"Figure 2","All Sites",NA,NA,37,"nmi",NA,NA,68524,NA,NA,"m","80","Mixed",1,37,NA,NA,NA,NA,1991,6,61.12871287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37,NA,NA,NA,NA,2008,6,59.16831683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,-1.96039604,NA,NA,NA,-0.0325954782568424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,126,"Sonnewald et al, 2012","All Sites","point","Figure 1 - Sonnewald and Turkay 2011","Using google maps",NA,2.94596147537231,62.4462237303889,0.137664516371988
1.602777223,54.87823164,"126_All Sites","JD",126,"Sonnewald et al, 2011","JD",0,0,0,1,1,1,1,0,0,0,1,"cm^2","fishes, including small cryptic fish","nearshore subtidal",55.579469,-4.175858,"Doggers Bank, North Sea","No",NA,"No",NA,"Used data from Sonnewald and Turkay 2011 because the data was more complete, therefore the reference information has been changed to reflect this",0,1,0,0,0,"Figure 2","All Sites",NA,NA,37,"nmi",NA,NA,68524,NA,NA,"m","80","Mixed",1,37,NA,NA,NA,NA,1991,6,61.12871287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37,NA,NA,NA,NA,2008,6,59.16831683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,-1.96039604,NA,NA,NA,-0.0325954782568424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,126,"Sonnewald et al, 2012","All Sites","point","Figure 1 - Sonnewald and Turkay 2011","Using google maps",NA,4.49476019541423,62.4462237303889,0.137664516371988
