"id","x","y","location_key","QC","Study.ID","Reference","Collector","coral","plant","algae","fish","inverts","mobile.inverts","sessile.inverts","marine.mammals","phytoplankton","zooplankton","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Lat","Long","Loc","Event.","Event.type","A.priori.","Year.of.Event","Notes","Vis","Trwl","Line","Drdg","Trp","Source","Site","SiSz","SiSz..units.","PltSz","PltSz..units.","Expected.Change.Direction","Event.Notes","Year","SiteSize","SiteSizeUnits","PlotSize","PlotSizeUnits","Taxa","n1","sub1","I1","ind1_error","ind1_error_type","P1","T1","T1m","SppR1","SppR1.Error","SppR1.Error.Type","Shan1","Shan1.Error","Shan1.Error.Type","Simps1","Simps1.Error","Simps1.Error.Type","Even1","Even1.Error","Even1.Error.Type","SppR1.SD","Shan1.SD","Simps1.SD","Even1.SD","n2","sub2","I2","ind2_error","ind2_error_type","P2","T2","T2m","SppR2","SppR2.Error","SppR2.Error.Type","Shan2","Shan2.Error","Shan2.Error.Type","Simps2","Simps2.Error","Simps2.Error.Type","Even2","Even2.Error","Even2.Error.Type","Event.type.2","SppR2.SD","Shan2.SD","Simps2.SD","Even2.SD","Duration","yi.SppR.MD","vi.SppR.MD","yi.SppR.SMD","vi.SppR.SMD","yi.SppR.ROM","vi.SppR.ROM","yi.SppR.SMDH","vi.SppR.SMDH","yi.Shan.MD","vi.Shan.MD","yi.Shan.SMD","vi.Shan.SMD","yi.Shan.ROM","vi.Shan.ROM","yi.Shan.SMDH","vi.Shan.SMDH","yi.Even.MD","vi.Even.MD","yi.Even.SMD","vi.Even.SMD","yi.Even.ROM","vi.Even.ROM","yi.Even.SMDH","vi.Even.SMDH","rich_ROM_uw","rich_ROM_w","shan_ROM_uw","shan_ROM_w","rich_SMD_uw","rich_SMD_w","shan_SMD_uw","shan_SMD_w","Study.ID.y","Reference.y","Site.y","Shape","Source.y","Checked","Notes.y","mean_imps","raster_vel","raster_lin","mean_invs"
"1",8.83,40.13,"21_ME",NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","ME",NA,NA,0.078,"m^2","Negative","",NA,NA,NA,0.078,"m^2","Coral",5,NA,5515,NA,NA,NA,1998,NA,30,NA,NA,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"4147",NA,NA,NA,2006,NA,70,NA,NA,2.74,NA,NA,NA,NA,NA,NA,NA,NA,"Sedimentation",NA,NA,NA,NA,8,40,NA,NA,NA,0.847297860387204,NA,NA,NA,1.13,NA,NA,NA,0.531723741403607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,-0.344136091823305,-0.000915054764588766,NA
"10",-73.1975,-36.756944,"150_Coliumo Bay, Chile",NA,150,"Hernandez-Miranda et al. 2012","TI",0,0,0,1,1,0,0,0,0,0,5,"mm","fish","rocky intertidal",-36.756944,-73.1975,"Coliumo Bay, Chile","Yes","hypoxic disturbance",NA,NA,NA,0,1,0,0,0,"Fig 2","Coliumo Bay, Chile",NA,NA,113.4,"m^2","Negative","",NA,NA,NA,113.4,"m^2","Mixed inverts",1,NA,NA,NA,NA,NA,2007,1,21.48148148,0.185185185,"SE",1.529358951,0.024061771,"SE",NA,NA,NA,NA,NA,NA,0.185185185,0.024061771,NA,NA,1,NA,NA,NA,NA,NA,2010,1,18.24074074,0.37037037,"SE",0.817381936,0.046866583,"SE",NA,NA,NA,NA,NA,NA,"Hypoxia",0.37037037,0.046866583,NA,NA,3,-3.24074074,0.171467763717421,NA,NA,-0.163533642899965,0.000486591792306298,NA,NA,-0.711977015,0.00277544542575233,NA,NA,-0.626497468766083,0.00353511619682431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7.41507911682129,28.9441574953119,0.0979520906557045,65209.30859375
"100",123.7,24.33,"596_Algal",NA,596,"Sano, 2001","AH",0,0,0,1,0,0,0,0,0,0,NA,NA,"coral fish","coral reef",24.33,123.7,"Japan","Yes","Algal Bloom","Yes",NA,NA,1,0,0,0,0,"Figure 2, 5","Algal",1.4,"ha",20,"m^2","Uncertain","",NA,14000,"m^2",20,"m^2","Mixed inverts",5,NA,NA,NA,NA,NA,1997,10,15,1.6,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,5,NA,NA,NA,NA,NA,1999,10,16,1.6,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Algal Bloom",1.6,NA,NA,NA,2,1,1.024,0.564189583547756,0.41591549430919,0.0645385211375712,0.00427555555555556,0.564189583547756,0.423648043698026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,5.32604479789734,21.710812619232,0.175500310244327,NA
"101",123.7,24.33,"596_Rubble",NA,596,"Sano, 2001","AH",0,0,0,1,0,0,0,0,0,0,NA,NA,"coral fish","coral reef",24.33,123.7,"Japan","Yes","Algal Bloom","Yes",NA,NA,1,0,0,0,0,"Figure 2, 5","Rubble",1.4,"ha",20,"m^2","Uncertain","",NA,14000,"m^2",20,"m^2","Mixed inverts",5,NA,NA,NA,NA,NA,1997,10,12.1,1.4,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,5,NA,NA,NA,NA,NA,1999,10,13.2,1.2,"SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Algal Bloom",1.2,NA,NA,NA,2,1.1,0.68,0.761576037470173,0.428999903042439,0.0870113769896297,0.00433030530701455,0.761576037470173,0.437666661216688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,5.32604479789734,21.710812619232,0.175500310244327,NA
"102",6.8833,53.5333,"463_Dredged",NA,463,"Kraan et al 2007","MH",0,0,0,0,1,1,1,0,0,0,1,"mm","All types of macrozoobenthic animals","subtidal mudflat",53.5333,6.8833,"Wadden Sea","Yes","Dredging",NA,NA,"Compares sites affected or not affected by cockle drilling.  I kept these sites separate. Data from figure is means with no error because it is a box plot",0,0,0,1,0,"Fig 3","Dredged",170,"km^2",0.018,"m^2","Negative","",NA,1.7e+08,"m^2",0.018,"m^2","Coral",342,2,NA,NA,NA,NA,1998,NA,5.072463768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,2,NA,NA,NA,NA,2002,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dredging",NA,NA,NA,NA,4,-0.0724637680000004,NA,NA,NA,-0.0143887374292425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5.37585365772247,57.6610638034751,0.162429437361207,14821.3793945312
"103",-117.1,32.633333,"621_San Diego, CA",NA,621,"Williams and Zedler 1999","ARW",0,0,0,1,0,0,0,0,0,0,3,"mm","various fish","salt marsh",32.633333,-117.1,"Sweetwater Marsh National Wildlife Refuge San Diego, CA","Yes","Constructed Marsh","Yes",NA,"There is also relative spp composition....include?",0,1,0,0,0,"Table 2","San Diego, CA",128,"ha",5301.4,"m^3","Positive","",NA,1280000,"m^2",5301.4,"m^3","Mixed inverts",3,NA,NA,NA,NA,NA,1989,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1996,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restoration",NA,NA,NA,NA,7,1,NA,NA,NA,0.0953101798043249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,23.6663859371499,0.0762448090932145,NA
"104",109.396389,12.655,"363_Control1 50 *9 m transects",NA,363,"Svensson et al. 2009","TI",0,0,0,1,0,0,0,0,0,0,NA,NA,"fish greater than 15 cms in length","coral reef",12.655,109.396389,"Whale island resort, Vietnam","Yes","Hotel managed marine reserve in 2001 (WIB) and another site in 2005 (WIBP)","Yes",NA,"protection in WIB was not successful for the 1st 2 years.  plot size is length* depth",1,0,0,0,0,"fig 3","Control1 50 *9 m transects",NA,NA,450,"m^2","Positive","",NA,NA,NA,450,"m^2","Mixed inverts",1,NA,NA,NA,NA,NA,2005,10,4.124179707,0.888440182,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.888440182,NA,NA,NA,1,NA,NA,NA,NA,NA,2006,10,10.43917214,1.781928319,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MPA",1.781928319,NA,NA,NA,1,6.314992433,3.96459449104636,NA,NA,0.92869814127296,0.075543992623086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5.62121470769246,70.5920782299757,0.122308790080982,0.540377095341682
"105",109.396389,12.655,"363_Control1 50 *3 m transects",NA,363,"Svensson et al. 2009","TI",0,0,0,1,0,0,0,0,0,0,NA,NA,"fish greater than 15 cms in length","coral reef",12.655,109.396389,"Whale island resort, Vietnam","Yes","Hotel managed marine reserve in 2001 (WIB) and another site in 2005 (WIBP)","Yes",NA,"protection in WIB was not successful for the 1st 2 years.  plot size is length* depth",1,0,0,0,0,"fig 3","Control1 50 *3 m transects",NA,NA,150,"m^2","Positive","",NA,NA,NA,150,"m^2","Mixed inverts",1,NA,NA,NA,NA,NA,2005,10,18.75820293,2.332155477,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.332155477,NA,NA,NA,1,NA,NA,NA,NA,NA,2006,10,21.40333165,3.669863705,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MPA",3.669863705,NA,NA,NA,1,2.64512872,18.9068487821774,NA,NA,0.131915448143911,0.0448565690331962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5.62121470769246,70.5920782299757,0.122308790080982,0.540377095341682
"106",109.396389,12.655,"363_Control2 50*9m transects",NA,363,"Svensson et al. 2009","TI",0,0,0,1,0,0,0,0,0,0,NA,NA,"fish greater than 15 cms in length","coral reef",12.655,109.396389,"Whale island resort, Vietnam","Yes","Hotel managed marine reserve in 2001 (WIB) and another site in 2005 (WIBP)","Yes",NA,"protection in WIB was not successful for the 1st 2 years.  plot size is length* depth",1,0,0,0,0,"fig 3","Control2 50*9m transects",NA,NA,450,"m^2","Positive","",NA,NA,NA,450,"m^2","Mixed inverts",1,NA,NA,NA,NA,NA,2005,10,2.468450278,0,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,2006,10,4.008076729,0.777385159,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MPA",0.777385159,NA,NA,NA,1,1.539626451,0.604327685433455,NA,NA,0.484720971644199,0.0376184101137357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5.62121470769246,70.5920782299757,0.122308790080982,0.540377095341682
"107",109.396389,12.655,"363_Control2 50*3 m transect",NA,363,"Svensson et al. 2009","TI",0,0,0,1,0,0,0,0,0,0,NA,NA,"fish greater than 15 cms in length","coral reef",12.655,109.396389,"Whale island resort, Vietnam","Yes","Hotel managed marine reserve in 2001 (WIB) and another site in 2005 (WIBP)","Yes",NA,"protection in WIB was not successful for the 1st 2 years.  plot size is length* depth",1,0,0,0,0,"fig 3","Control2 50*3 m transect",NA,NA,150,"m^2","Positive","",NA,NA,NA,150,"m^2","Mixed inverts",1,NA,NA,NA,NA,NA,2005,10,16.54719838,1.670873296,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.670873296,NA,NA,NA,1,NA,NA,NA,NA,NA,2006,10,15.75971731,1.22160525,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MPA",1.22160525,NA,NA,NA,1,-0.787481070000002,4.28413695811347,NA,NA,-0.048759658231882,0.0162046783359105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5.62121470769246,70.5920782299757,0.122308790080982,0.540377095341682
