"QC","Study.ID","Reference","Collector","coral","plant","algae","fish","inverts","mobile.inverts","sessile.inverts","marine.mammals","phytoplankton","zooplankton","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Lat","Long","Loc","Event.","Event.type","A.priori.","Year.of.Event","Notes","Vis","Trwl","Line","Drdg","Trp","Source","Site","SiSz","SiSz..units.","PltSz","PltSz..units.","Expected.Change.Direction","Event.Notes","Year","SiteSize","SiteSizeUnits","PlotSize","PlotSizeUnits","Taxa","yi.SppR.MD","vi.SppR.MD","yi.SppR.SMD","vi.SppR.SMD","yi.SppR.ROM","vi.SppR.ROM","yi.SppR.SMDH","vi.SppR.SMDH","yi.Shan.MD","vi.Shan.MD","yi.Shan.SMD","vi.Shan.SMD","yi.Shan.ROM","vi.Shan.ROM","yi.Shan.SMDH","vi.Shan.SMDH","yi.Even.MD","vi.Even.MD","yi.Even.SMD","vi.Even.SMD","yi.Even.ROM","vi.Even.ROM","yi.Even.SMDH","vi.Even.SMDH","n1","sub1","I1","ind1_error","ind1_error_type","P1","T1","T1m","SppR1","SppR1.Error","SppR1.Error.Type","Shan1","Shan1.Error","Shan1.Error.Type","Simps1","Simps1.Error","Simps1.Error.Type","Even1","Even1.Error","Even1.Error.Type","SppR1.SD","Shan1.SD","Simps1.SD","Even1.SD","n2","sub2","I2","ind2_error","ind2_error_type","P2","T2","T2m","SppR2","SppR2.Error","SppR2.Error.Type","Shan2","Shan2.Error","Shan2.Error.Type","Simps2","Simps2.Error","Simps2.Error.Type","Even2","Even2.Error","Even2.Error.Type","Event.type.2","SppR2.SD","Shan2.SD","Simps2.SD","Even2.SD","id","Duration","mean_imps","temp_change_rate_year","temp_change_rate_decade","temp_net_change"
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","Mondego Estuary",NA,NA,0.078,"m^2","Negative","",NA,NA,NA,0.078,"m^2","Coral",9,NA,NA,NA,0.262364264467491,NA,NA,NA,1.12,NA,NA,NA,0.528067430200497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5515,NA,NA,NA,1998,NA,30,NA,NA,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"3008",NA,NA,NA,2006,NA,39,NA,NA,2.73,NA,NA,NA,NA,NA,NA,NA,NA,"Sedimentation",NA,NA,NA,NA,"1",8,NA,-9.15054764588766e-05,-0.000915054764588766,0.96227518717448
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,0,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","Mondego Estuary",NA,NA,0.078,"m^2","Negative","",NA,NA,NA,0.078,"m^2","Zooplankton",3,NA,NA,NA,0.154150679827258,NA,NA,NA,0.19,NA,NA,NA,0.0878162060069168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1672,NA,NA,NA,2005,NA,18,NA,NA,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"579",NA,NA,NA,2006,NA,21,NA,NA,2.26,NA,NA,NA,NA,NA,NA,NA,NA,"Sedimentation",NA,NA,NA,NA,"2",1,NA,-9.15054764588766e-05,-0.000915054764588766,0.96227518717448
NA,441,"Pranovi et al 2008","MH",0,0,0,0,1,1,1,0,0,0,NA,NA,"all benthic invertebrates","estuarine mudflat",43.4375,12.335,"Venice, Italy","Yes","Multiple events, natural and artificial",NA,NA,NA,0,0,0,1,0,"Fig 3,5","Southern",NA,NA,1,"m^2","Negative","",NA,NA,NA,1,"m^2","Coral",-23.28358209,3.61995989980842,-3.67459140601602,0.208620782645251,-1.16713223509857,0.00866407260512835,-3.51702876040079,0.264013682931072,-0.910671642,0.017725,-1.75058077410254,0.108254542698046,-0.424854829769101,0.00490125533157271,-1.81811451546477,0.109061856687328,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,1935,NA,33.80597015,1.71641791,"SE",2.630970149,0.075,"SE",NA,NA,NA,NA,NA,NA,8.05071361550719,0.351781181986757,NA,NA,30,NA,NA,NA,NA,NA,1999,NA,10.52238806,0.820895522,"SE",1.720298507,0.11,"SE",NA,NA,NA,NA,NA,NA,"Multiple",4.49622994754378,0.602494813255683,NA,NA,"3",64,NA,NA,NA,NA
NA,441,"Pranovi et al 2008","MH",0,0,0,0,1,1,1,0,0,0,NA,NA,"all benthic invertebrates","estuarine mudflat",43.4375,12.335,"Venice, Italy","Yes","Multiple events, natural and artificial",NA,NA,NA,0,0,0,1,0,"Fig 3,5","Nothern",NA,NA,1,"m^2","Negative","",NA,NA,NA,1,"m^2","Coral",-18.28358209,1.54265983425039,-3.06201503428195,0.0882623033846903,-0.924948794789469,0.00431394008397964,-3.00616356678772,0.0971553917201758,-0.137313433,0.007925,-0.314069796783859,0.0414072719053124,-0.0719763163567406,0.00214692832462227,-0.31176642848499,0.042252574527318,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,1935,NA,30.29850746,1.044776119,"SE",1.977238806,0.07,"SE",NA,NA,NA,NA,NA,NA,6.93026075329341,0.464327470649756,NA,NA,55,NA,NA,NA,NA,NA,2004,NA,12.01492537,0.671641791,"SE",1.839925373,0.055,"SE",NA,NA,NA,NA,NA,NA,"Multiple",4.98102883428442,0.407890916790261,NA,NA,"4",69,NA,NA,NA,NA
NA,441,"Pranovi et al 2008","MH",0,0,0,0,1,1,1,0,0,0,NA,NA,"all benthic invertebrates","estuarine mudflat",43.4375,12.335,"Venice, Italy","Yes","Multiple events, natural and artificial",NA,NA,NA,0,0,0,1,0,"Fig 3,5","Central",NA,NA,1,"m^2","Negative","",NA,NA,NA,1,"m^2","Coral",-17.6119403,2.28335932109156,-3.49705073373395,0.353822730571819,-0.706106325377483,0.00361817509371439,-3.88392604846095,0.399513745951371,-0.28022388,0.015625,-0.610607389224151,0.156214023062919,-0.133227729395791,0.00316996743092512,-0.703657256801252,0.115550232317756,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,1935,NA,34.7761194,1.268656716,"SE",2.246567164,0.12,"SE",NA,NA,NA,NA,NA,NA,5.67360531417529,0.53665631459995,NA,NA,10,NA,NA,NA,NA,NA,2001,NA,17.1641791,0.820895522,"SE",1.966343284,0.035,"SE",NA,NA,NA,NA,NA,NA,"Multiple",2.59589957055286,0.110679718105893,NA,NA,"5",66,NA,NA,NA,NA
NA,150,"Hernandez-Miranda et al. 2012","TI",0,0,0,1,1,0,0,0,0,0,5,"mm","fish","rocky intertidal",-36.756944,-73.1975,"Coliumo Bay, Chile","Yes","hypoxic disturbance",NA,NA,NA,0,1,0,0,0,"Fig 2","Coliumo Bay, Chile",NA,NA,113.4,"m^2","Negative","",NA,NA,NA,113.4,"m^2","Mixed inverts",-3.24074074,0.171467763717421,NA,NA,-0.163533642899965,0.000486591792306298,NA,NA,-0.711977015,0.00277544542575233,NA,NA,-0.626497468766083,0.00353511619682431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2007,1,21.48148148,0.185185185,"SE",1.529358951,0.024061771,"SE",NA,NA,NA,NA,NA,NA,0.185185185,0.024061771,NA,NA,1,NA,NA,NA,NA,NA,2010,1,18.24074074,0.37037037,"SE",0.817381936,0.046866583,"SE",NA,NA,NA,NA,NA,NA,"Hypoxia",0.37037037,0.046866583,NA,NA,"6",3,7.41507911682129,0.00979520906557045,0.0979520906557045,0.254026889801025
NA,53,"Kelmo et al. 2013","MH",0,0,0,0,1,1,1,0,0,0,NA,NA,"Foraminefera","coral reef",-12.6,-38,"Brazil","Yes","El Nino in 97-8 but no change in any other year",NA,NA,"Foraminefera",0,0,0,1,0,"Fig 2a ","Northern Bahia",900,"m^2",50,"cm^3","Uncertain","Could be either depending on when samples taken",NA,900,"m^2",5e-05,"m^3","Coral",-11.771428576,4.6008163277551,-1.215303587581,0.0592310175624204,-1.03212254767751,0.0664297698631643,-1.215303587581,0.0597010173242201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,1995,4,18.28571429,1.428571429,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.03507903176304,NA,NA,NA,40,NA,NA,NA,NA,NA,2011,4,6.514285714,1.6,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El Nino",10.1192885125388,NA,NA,NA,"7",16,3.54433923959732,NA,NA,NA
NA,88,"WehKamp, 2013","AH",0,0,0,1,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2009; 0 m; June",1,0,0,0,0,"Figure 6","0 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Mixed inverts",0.27,NA,NA,NA,0.338602162879038,NA,NA,NA,-0.16,NA,NA,NA,-0.200670695462151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2009,1,0.67,NA,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,1,0.94,NA,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,"8",2,2.77739350001017,0.0161119250858056,0.161119250858056,0.263337711493174
NA,88,"WehKamp, 2013","AH",0,0,0,1,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2009; 5 m; June",1,0,0,0,0,"Figure 6","5 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Mixed inverts",0.0599999999999999,NA,NA,NA,0.0631789016215315,NA,NA,NA,-0.05,NA,NA,NA,-0.0565122102633423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2009,1,0.92,NA,NA,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,1,0.98,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,"9",2,2.77739350001017,0.0161119250858056,0.161119250858056,0.263337711493174
NA,88,"WehKamp, 2013","AH",0,0,0,1,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2009; 10 m; June",1,0,0,0,0,"Figure 6","10 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Mixed inverts",0.54,NA,NA,NA,0.81351086280982,NA,NA,NA,-0.07,NA,NA,NA,-0.083881483980702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2009,1,0.43,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,1,0.97,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,"10",2,2.77739350001017,0.0161119250858056,0.161119250858056,0.263337711493174
