"QC","Study.ID","Reference","Collector","coral","plant","algae","fish","inverts","mobile.inverts","sessile.inverts","marine.mammals","phytoplankton","zooplankton","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Lat","Long","Loc","Event.","Event.type","A.priori.","Year.of.Event","Notes","Vis","Trwl","Line","Drdg","Trp","Source","Site","n1","n2","sub1","sub2","I1","I2","ind1_error","ind1_error_type","ind2_error","ind2_error_type","P1","P2","SiSz","SiSz..units.","PltSz","PltSz..units.","T1","T1m","SppR","SppR1.Error","SppR1.Error.Type","Shan","Shan1.Error","Shan1.Error.Type","Even","Even1.Error","Even1.Error.Type","Event.type.2","Expected.Change.Direction","Event.Notes","SppR.SD","Shan.SD","Even.SD","Year","SiteSize","SiteSizeUnits","PlotSize","PlotSizeUnits","Taxa","date1","date2","row_number","yi.SppR.MD","vi.SppR.MD","yi.SppR.SMD","vi.SppR.SMD","yi.SppR.ROM","vi.SppR.ROM","yi.SppR.SMDH","vi.SppR.SMDH","yi.Shan.MD","vi.Shan.MD","yi.Shan.SMD","vi.Shan.SMD","yi.Shan.ROM","vi.Shan.ROM","yi.Shan.SMDH","vi.Shan.SMDH","yi.Even.MD","vi.Even.MD","yi.Even.SMD","vi.Even.SMD","yi.Even.ROM","vi.Even.ROM","yi.Even.SMDH","vi.Even.SMDH","len","temporal_std_r","Duration"
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","ME",5,5,NA,NA,5515,"5878",NA,NA,NA,NA,NA,NA,NA,NA,0.078,"m^2",1998,"6",30,NA,NA,1.61,NA,NA,NA,NA,NA,"Sedimentation","Negative","",NA,NA,NA,NA,NA,NA,0.078,"m^2","Coral",1998-01-01,2005-01-01,1,19,NA,NA,NA,0.490622916448471,NA,NA,NA,0.91,NA,NA,NA,0.44802472252696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-0.982923867009799,8
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","ME",5,5,NA,NA,5878,"4147",NA,NA,NA,NA,NA,NA,NA,NA,0.078,"m^2",2005,"6",49,NA,NA,2.52,NA,NA,NA,NA,NA,"Sedimentation","Negative","",NA,NA,NA,NA,NA,NA,0.078,"m^2","Coral",2005-01-01,2006-01-01,2,21,NA,NA,NA,0.356674943938732,NA,NA,NA,0.22,NA,NA,NA,0.083699018876647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-0.0333194531189761,8
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","ME",5,5,NA,NA,5878,"4147",NA,NA,NA,NA,NA,NA,NA,NA,0.078,"m^2",2006,"6",70,NA,NA,2.74,NA,NA,NA,NA,NA,"Sedimentation","Negative","",NA,NA,NA,NA,NA,NA,0.078,"m^2","Coral",2005-01-01,2006-01-01,2,21,NA,NA,NA,0.356674943938732,NA,NA,NA,0.22,NA,NA,NA,0.083699018876647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.01624332012878,8
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","EE",5,5,NA,NA,432,"182",NA,NA,NA,NA,NA,NA,NA,NA,0.078,"m^2",1998,"6",19,NA,NA,2.48,NA,NA,NA,NA,NA,"Sedimentation","Negative","",NA,NA,NA,NA,NA,NA,0.078,"m^2","Coral",1998-01-01,2005-01-01,3,0,NA,NA,NA,0,NA,NA,NA,0.59,NA,NA,NA,0.213419001422215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-0.577350269189626,8
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","EE",5,5,NA,NA,182,"560",NA,NA,NA,NA,NA,NA,NA,NA,0.078,"m^2",2005,"6",19,NA,NA,3.07,NA,NA,NA,NA,NA,"Sedimentation","Negative","",NA,NA,NA,NA,NA,NA,0.078,"m^2","Coral",2005-01-01,2006-01-01,4,27,NA,NA,NA,0.884202417322654,NA,NA,NA,0.15,NA,NA,NA,0.0477037979572112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-0.577350269189626,8
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","EE",5,5,NA,NA,182,"560",NA,NA,NA,NA,NA,NA,NA,NA,0.078,"m^2",2006,"6",46,NA,NA,3.22,NA,NA,NA,NA,NA,"Sedimentation","Negative","",NA,NA,NA,NA,NA,NA,0.078,"m^2","Coral",2005-01-01,2006-01-01,4,27,NA,NA,NA,0.884202417322654,NA,NA,NA,0.15,NA,NA,NA,0.0477037979572112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.15470053837925,8
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","PSM",5,5,NA,NA,224,"1965",NA,NA,NA,NA,NA,NA,NA,NA,0.078,"m^2",1998,"6",6,NA,NA,1.43,NA,NA,NA,NA,NA,"Sedimentation","Negative","",NA,NA,NA,NA,NA,NA,0.078,"m^2","Coral",1998-01-01,2005-01-01,5,26,NA,NA,NA,1.67397643357167,NA,NA,NA,1.03,NA,NA,NA,0.542486905672456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-1.06748999232823,8
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","PSM",5,5,NA,NA,1965,"828",NA,NA,NA,NA,NA,NA,NA,NA,0.078,"m^2",2005,"6",32,NA,NA,2.46,NA,NA,NA,NA,NA,"Sedimentation","Negative","",NA,NA,NA,NA,NA,NA,0.078,"m^2","Coral",2005-01-01,2006-01-01,6,-10,NA,NA,NA,-0.374693449441411,NA,NA,NA,-0.47,NA,NA,NA,-0.21202671120787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.914991421995628,8
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","PSM",5,5,NA,NA,1965,"828",NA,NA,NA,NA,NA,NA,NA,NA,0.078,"m^2",2006,"6",22,NA,NA,1.99,NA,NA,NA,NA,NA,"Sedimentation","Negative","",NA,NA,NA,NA,NA,NA,0.078,"m^2","Coral",2005-01-01,2006-01-01,6,-10,NA,NA,NA,-0.374693449441411,NA,NA,NA,-0.47,NA,NA,NA,-0.21202671120787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.152498570332605,8
NA,21,"Pinto et al. 2014","ARW",0,0,0,0,1,1,1,0,0,0,NA,NA,"not clear","estuarine mudflat",40.13,8.83,"Portugal","Yes","Sedimentaion",NA,NA,"Event disrupted communication between sites",0,0,0,1,0,"Methods","PMS",5,5,NA,NA,4716,"2060",NA,NA,NA,NA,NA,NA,NA,NA,0.078,"m^2",1998,"6",14,NA,NA,1.41,NA,NA,NA,NA,NA,"Sedimentation","Negative","",NA,NA,NA,NA,NA,NA,0.078,"m^2","Coral",1998-01-01,2005-01-01,7,8,NA,NA,NA,0.451985123743057,NA,NA,NA,1.22,NA,NA,NA,0.623394141799596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-1.04407379532775,8
