"QC","Study.ID","Reference","Collector","coral","plant","algae","fish","inverts","mobile.inverts","sessile.inverts","marine.mammals","phytoplankton","zooplankton","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Lat","Long","Loc","Event.","Event.type","A.priori.","Year.of.Event","Notes","Vis","Trwl","Line","Drdg","Trp","Source","Site","n1","n2","sub1","sub2","I1","I2","ind1_error","ind1_error_type","ind2_error","ind2_error_type","P1","P2","SiSz","SiSz..units.","PltSz","PltSz..units.","T1","T1m","SppR","SppR1.Error","SppR1.Error.Type","Shan","Shan1.Error","Shan1.Error.Type","Even","Even1.Error","Even1.Error.Type","Event.type.2","Expected.Change.Direction","Event.Notes","SppR.SD","Shan.SD","Even.SD","Year","SiteSize","SiteSizeUnits","PlotSize","PlotSizeUnits","Taxa","date1","date2","row_number","yi.SppR.MD","vi.SppR.MD","yi.SppR.SMD","vi.SppR.SMD","yi.SppR.ROM","vi.SppR.ROM","yi.SppR.SMDH","vi.SppR.SMDH","yi.Shan.MD","vi.Shan.MD","yi.Shan.SMD","vi.Shan.SMD","yi.Shan.ROM","vi.Shan.ROM","yi.Shan.SMDH","vi.Shan.SMDH","yi.Even.MD","vi.Even.MD","yi.Even.SMD","vi.Even.SMD","yi.Even.ROM","vi.Even.ROM","yi.Even.SMDH","vi.Even.SMDH","len","temporal_std_r","Duration"
NA,621,"Williams and Zedler 1999","ARW",0,0,0,1,0,0,0,0,0,0,3,"mm","various fish","salt marsh",32.633333,-117.1,"Sweetwater Marsh National Wildlife Refuge San Diego, CA",NA,NA,"Yes",NA,"There is also relative spp composition....include?",0,1,0,0,0,"Table 2","San Diego, CA",4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,"ha",5301.4,"m^3",1989,"1",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280000,"m^2",5301.4,"m^3","Mixed inverts",1989-01-01,1990-01-01,622,-5,NA,NA,NA,-0.538996500732687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1.33634829728389,7
NA,621,"Williams and Zedler 1999","ARW",0,0,0,1,0,0,0,0,0,0,3,"mm","various fish","salt marsh",32.633333,-117.1,"Sweetwater Marsh National Wildlife Refuge San Diego, CA",NA,NA,"Yes",NA,"There is also relative spp composition....include?",0,1,0,0,0,"Table 2","San Diego, CA",4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,"ha",5301.4,"m^3",1990,"1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280000,"m^2",5301.4,"m^3","Mixed inverts",1990-01-01,1991-01-01,623,2,NA,NA,NA,0.251314428280906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,-0.519691004499289,7
NA,621,"Williams and Zedler 1999","ARW",0,0,0,1,0,0,0,0,0,0,3,"mm","various fish","salt marsh",32.633333,-117.1,"Sweetwater Marsh National Wildlife Refuge San Diego, CA",NA,NA,"Yes",NA,"There is also relative spp composition....include?",0,1,0,0,0,"Table 2","San Diego, CA",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,"ha",5301.4,"m^3",1991,"1",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280000,"m^2",5301.4,"m^3","Mixed inverts",1991-01-01,1992-01-01,624,-7,NA,NA,NA,-1.50407739677627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.222724716213981,7
NA,621,"Williams and Zedler 1999","ARW",0,0,0,1,0,0,0,0,0,0,3,"mm","various fish","salt marsh",32.633333,-117.1,"Sweetwater Marsh National Wildlife Refuge San Diego, CA",NA,NA,"Yes",NA,"There is also relative spp composition....include?",0,1,0,0,0,"Table 2","San Diego, CA",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,"ha",5301.4,"m^3",1992,"1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280000,"m^2",5301.4,"m^3","Mixed inverts",1992-01-01,1993-01-01,625,6,NA,NA,NA,1.38629436111989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,-2.37573030628247,7
NA,621,"Williams and Zedler 1999","ARW",0,0,0,1,0,0,0,0,0,0,3,"mm","various fish","salt marsh",32.633333,-117.1,"Sweetwater Marsh National Wildlife Refuge San Diego, CA",NA,NA,"Yes",NA,"There is also relative spp composition....include?",0,1,0,0,0,"Table 2","San Diego, CA",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,"ha",5301.4,"m^3",1993,"1",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280000,"m^2",5301.4,"m^3","Mixed inverts",1993-01-01,1994-01-01,626,-2,NA,NA,NA,-0.287682072451781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,-0.148483144142654,7
NA,621,"Williams and Zedler 1999","ARW",0,0,0,1,0,0,0,0,0,0,3,"mm","various fish","salt marsh",32.633333,-117.1,"Sweetwater Marsh National Wildlife Refuge San Diego, CA",NA,NA,"Yes",NA,"There is also relative spp composition....include?",0,1,0,0,0,"Table 2","San Diego, CA",2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,"ha",5301.4,"m^3",1994,"1",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280000,"m^2",5301.4,"m^3","Mixed inverts",1994-01-01,1995-01-01,627,3,NA,NA,NA,0.405465108108164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,-0.890898864855925,7
NA,621,"Williams and Zedler 1999","ARW",0,0,0,1,0,0,0,0,0,0,3,"mm","various fish","salt marsh",32.633333,-117.1,"Sweetwater Marsh National Wildlife Refuge San Diego, CA",NA,NA,"Yes",NA,"There is also relative spp composition....include?",0,1,0,0,0,"Table 2","San Diego, CA",4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,"ha",5301.4,"m^3",1995,"1",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280000,"m^2",5301.4,"m^3","Mixed inverts",1995-01-01,1996-01-01,628,2,NA,NA,NA,0.200670695462151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.222724716213981,7
NA,621,"Williams and Zedler 1999","ARW",0,0,0,1,0,0,0,0,0,0,3,"mm","various fish","salt marsh",32.633333,-117.1,"Sweetwater Marsh National Wildlife Refuge San Diego, CA",NA,NA,"Yes",NA,"There is also relative spp composition....include?",0,1,0,0,0,"Table 2","San Diego, CA",4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,"ha",5301.4,"m^3",1996,"1",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280000,"m^2",5301.4,"m^3","Mixed inverts",1995-01-01,1996-01-01,628,2,NA,NA,NA,0.200670695462151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.965140436927251,7
NA,363,"Svensson et al. 2009","TI",0,0,0,1,0,0,0,0,0,0,NA,NA,"fish greater than 15 cms in length","coral reef",12.655,109.396389,"Whale island resort, Vietnam","protection","Hotel managed marine reserve in 2001 (WIB) and another site in 2005 (WIBP)","Yes",NA,"protection in WIB was not successful for the 1st 2 years.  plot size is length* depth",1,0,0,0,0,"fig 3","Control1 50 *9 m transects",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,"m^2",2005,"10",4.124179707,0.888440182,"SE",NA,NA,NA,NA,NA,NA,"MPA","Positive","",0.888440182,NA,NA,NA,NA,NA,450,"m^2","Mixed inverts",2005-10-01,2006-10-01,491,6.314992433,3.96459449104636,NA,NA,0.92869814127296,0.075543992623086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-0.751121866515225,2
NA,363,"Svensson et al. 2009","TI",0,0,0,1,0,0,0,0,0,0,NA,NA,"fish greater than 15 cms in length","coral reef",12.655,109.396389,"Whale island resort, Vietnam","protection","Hotel managed marine reserve in 2001 (WIB) and another site in 2005 (WIBP)","Yes",NA,"protection in WIB was not successful for the 1st 2 years.  plot size is length* depth",1,0,0,0,0,"fig 3","Control1 50 *9 m transects",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,"m^2",2006,"4",5.007571933,0.550227158,"SE",NA,NA,NA,NA,NA,NA,"MPA","Positive","",0.550227158,NA,NA,NA,NA,NA,450,"m^2","Mixed inverts",2006-04-01,2007-04-01,492,3.654719839,1.79506931222832,NA,NA,0.548028172855668,0.0319616331617266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-0.383953356424954,2
NA,363,"Svensson et al. 2009","TI",0,0,0,1,0,0,0,0,0,0,NA,NA,"fish greater than 15 cms in length","coral reef",12.655,109.396389,"Whale island resort, Vietnam","protection","Hotel managed marine reserve in 2001 (WIB) and another site in 2005 (WIBP)","Yes",NA,"protection in WIB was not successful for the 1st 2 years.  plot size is length* depth",1,0,0,0,0,"fig 3","Control1 50 *9 m transects",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,"m^2",2007,"4",8.662291772,1.22160525,"SE",NA,NA,NA,NA,NA,NA,"MPA","Positive","",1.22160525,NA,NA,NA,NA,NA,450,"m^2","Mixed inverts",2006-04-01,2007-04-01,492,3.654719839,1.79506931222832,NA,NA,0.548028172855668,0.0319616331617266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.13507522294018,2
NA,363,"Svensson et al. 2009","TI",0,0,0,1,0,0,0,0,0,0,NA,NA,"fish greater than 15 cms in length","coral reef",12.655,109.396389,"Whale island resort, Vietnam","protection","Hotel managed marine reserve in 2001 (WIB) and another site in 2005 (WIBP)","Yes",NA,"protection in WIB was not successful for the 1st 2 years.  plot size is length* depth",1,0,0,0,0,"fig 3","Control1 50 *3 m transects",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,"m^2",2005,"10",18.75820293,2.332155477,"SE",NA,NA,NA,NA,NA,NA,"MPA","Positive","",2.332155477,NA,NA,NA,NA,NA,150,"m^2","Mixed inverts",2005-10-01,2006-10-01,493,2.64512872,18.9068487821774,NA,NA,0.131915448143911,0.0448565690331962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-1.15460954643961,2
