TI,Study ID,Author.Year,Filtered,Database,Authors,Title,Journal,Volume,Issue,Start.Page,End.Page,Electronic.ID,DOI,Year,
Aaron,136,Lopez-Rasgado et al. 2012,Alexa,ISI,"Lopez-Rasgado, F. J.; Herzka, S. Z.; Del-Monte-Luna, P.; Serviere-Zaragoza, E.; Balart, E. F.; Lluch-Cota, S. E.",FISH ASSEMBLAGES IN THREE ARID MANGROVE SYSTEMS OF THE GULF OF CALIFORNIA: COMPARING OBSERVATIONS FROM 1980 AND 2010,BULLETIN OF MARINE SCIENCE,88,4,919,945,NA,10.5343/bms.2011.1111,2012,"López-Rasgado, F., Herzka, S., Del-Monte-Luna, P., Serviere-Zaragoza, E., Balart, E., & Lluch-Cota, S. (2012). Fish Assemblages in Three Arid Mangrove Systems of the Gulf of California: Comparing Observations from 1980 and 2010. Bulletin of Marine Science, 88(4), 919–945. doi:10.5343/bms.2011.1111"
Aaron,158,Sales et al. 2012,Alexa,ISI,"Sales, Marta; Ballesteros, Enric",Seasonal dynamics and annual production of Cystoseira crinita (Fucales: Ochrophyta)-dominated assemblages from the northwestern Mediterranean,SCIENTIA MARINA,76,2,391,401,NA,10.3989/scimar.03465.16D,2012,"Sales, M., & Ballesteros, E. (2012). Seasonal dynamics and annual production of Cystoseira crinita (Fucales: Ochrophyta)-dominated assemblages from the northwestern Mediterranean. Scientia Marina, 76(2), 391–401. doi:10.3989/scimar.03465.16d"
Aaron,181,NA,Daniel,ISI,"Diez, I.; Muguerza, N.; Santolaria, A.; Ganzedo, U.; Gorostiaga, J. M.",Seaweed assemblage changes in the eastern Cantabrian Sea and their potential relationship to climate change,ESTUARINE COASTAL AND SHELF SCIENCE,99,NA,108,120,NA,10.1016/j.ecss.2011.12.027,2012,"Díez, I., Muguerza, N., Santolaria, A., Ganzedo, U., & Gorostiaga, J. M. (2012). Seaweed assemblage changes in the eastern Cantabrian Sea and their potential relationship to climate change. Estuarine, Coastal and Shelf Science, 99, 108–120. doi:10.1016/j.ecss.2011.12.027"
Aaron,347,NA,Jillian,ISI,"de Loma, Thierry Lison; Chabanet, Pascale; Ferraris, Jocelyne; Galzin, Rene; Harmelin-Vivien, Mireille",Long-term spatiotemporal variations in coral-reef fish community structure and fishing at a South Pacific atoll,AQUATIC LIVING RESOURCES,22,3,281,290,NA,10.1051/alr/2009037,2009,"Lison de Loma, T., Chabanet, P., Ferraris, J., Galzin, R., & Harmelin-Vivien, M. (2009). Long-term spatiotemporal variations in coral-reef fish community structure and fishing at a South Pacific atoll. Aquatic Living Resources, 22(3), 281–290. doi:10.1051/alr/2009037"
Aaron,404,NA,Jillian,ISI,"Whomersley, Paul; Ware, Suzanne; Rees, Hubert L.; Mason, Claire; Bolam, Thi; Huxham, Mark; Bates, Helen","Biological indicators of disturbance at a dredged-material disposal site in Liverpool Bay, UK: an assessment using time-series data",ICES JOURNAL OF MARINE SCIENCE,65,8,1414,1420,NA,10.1093/icesjms/fsn125,2008,"Whomersley, P., Ware, S., Rees, H. L., Mason, C., Bolam, T., Huxham, M., & Bates, H. (2008). Biological indicators of disturbance at a dredged-material disposal site in Liverpool Bay, UK: an assessment using time-series data. ICES Journal of Marine Science, 65(8), 1414–1420. doi:10.1093/icesjms/fsn125"
Aaron,448,NA,Marc,ISI,"Hagan, Stacy Moore; Able, Kenneth W.",Diel variation in the pelagic fish assemblage in a temperate estuary,ESTUARIES AND COASTS,31,1,33,42,NA,10.1007/s12237-007-9018-3,2008,"Hagan, S. M., & Able, K. W. (2007). Diel Variation in the Pelagic Fish Assemblage in a Temperate Estuary. Estuaries and Coasts, 31(1), 33–42. doi:10.1007/s12237-007-9018-3"
Aaron,524,NA,Marc,ISI,"Hawkins, JP; Roberts, CM; Dytham, C; Schelten, C; Nugues, MM",Effects of habitat characteristics and sedimentation on performance of marine reserves in St. Lucia,BIOLOGICAL CONSERVATION,127,4,487,499,NA,10.1016/j.biocon.2005.09.008,2006,"Hawkins, J. P., Roberts, C. M., Dytham, C., Schelten, C., & Nugues, M. M. (2006). Effects of habitat characteristics and sedimentation on performance of marine reserves in St. Lucia. Biological Conservation, 127(4), 487–499. doi:10.1016/j.biocon.2005.09.008"
Aaron,538,NA,Patrick,ISI,"Jones, MV; West, RJ",Spatial and temporal variability of seagrass fishes in intermittently closed and open coastal lakes in southeastern Australia,ESTUARINE COASTAL AND SHELF SCIENCE,64,2/3/2014,277,288,NA,10.1016/j.ecss.2005.02.021,2005,"Jones, M. V., & West, R. J. (2005). Spatial and temporal variability of seagrass fishes in intermittently closed and open coastal lakes in southeastern Australia. Estuarine, Coastal and Shelf Science, 64(2-3), 277–288. doi:10.1016/j.ecss.2005.02.021"
Alexa,394,NA,Jillian,ISI,"Ruflno, M. M.; Gaspar, M. B.; Maynou, F.; Monteiro, C. C.",Regional and temporal changes in bivalve diversity off the south coast of Portugal,ESTUARINE COASTAL AND SHELF SCIENCE,80,4,517,528,NA,10.1016/j.ecss.2008.09.014,2008,"Rufino, M. M., Gaspar, M. B., Maynou, F., & Monteiro, C. C. (2008). Regional and temporal changes in bivalve diversity off the south coast of Portugal. Estuarine, Coastal and Shelf Science, 80(4), 517–528. doi:10.1016/j.ecss.2008.09.014"
Alexa,478,NA,Marc,ISI,"Barrett, Neville S.; Edgar, Graham J.; Buxton, Colin D.; Haddon, Malcolm",Changes in fish assemblages following 10 years of protection in Tasmanian marine protected areas,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,345,2,141,157,NA,10.1016/j.jembe.2007.02.007,2007,"Barrett, N. S., Edgar, G. J., Buxton, C. D., & Haddon, M. (2007). Changes in fish assemblages following 10 years of protection in Tasmanian marine protected areas. Journal of Experimental Marine Biology and Ecology, 345(2), 141–157. doi:10.1016/j.jembe.2007.02.007"
