TI,Completed?,Study Used?,Study ID,Author.Year,Filtered,Database,Authors,Title,Journal,Volume,Issue,Start.Page,End.Page,Electronic.ID,DOI,Year,Initial Notes,Reason for Rejection,Additional Notes,Part of a Long-Term Sampling Project?,"If part of a project, what is the project's name?"
Aaron,Yes,"No
",2,Kowalewski et al. 2014,Alexa,ISI,"Kowalewski, Michal; Domenech, Rosa; Martinell, Jordi",Vanishing Clams on an Iberian Beach: Local Consequences and Global Implications of Accelerating Loss of Shells to Tourism,PLOS ONE,9,1,,,e83615,10.1371/journal.pone.0083615,2014,Abundances,,,,
Aaron,Yes,No,16,Haeussermann et al. 2013,Alexa,ISI,"Haeussermann, Vreni; Foersterra, Guenter; Melzer, Roland R.; Meyer, Roland","Gradual changes of benthic biodiversity in Comau Fjord, Chilean Patagonia - lateral observations over a decade of taxonomic research",SPIXIANA,36,2,161,171,,,2013,,,,,
Aaron,Yes,No,31,Voerman et al. 2013,Alexa,ISI,"Voerman, Sofie E.; Llera, Eva; Rico, Jose M.",Climate driven changes in subtidal kelp forest communities in NW Spain,MARINE ENVIRONMENTAL RESEARCH,90,,119,127,,10.1016/j.marenvres.2013.06.006,2013,not sure how good this really is; kelp,,,,
Aaron,Yes,"Yes
",51,Sobocinski et al. 2013,Alexa,ISI,"Sobocinski, Kathryn L.; Orth, Robert J.; Fabrizio, Mary C.; Latour, Robert J.",Historical Comparison of Fish Community Structure in Lower Chesapeake Bay Seagrass Habitats,ESTUARIES AND COASTS,36,4,775,794,,10.1007/s12237-013-9586-3,2013,compare to historical data,,,,
Aaron,Yes,No,54,Bessa et al. 2013,Alexa,ISI,"Bessa, Filipa; Cunha, David; Goncalves, Silvia Correia; Marques, Joao Carlos",Sandy beach macrofaunal assemblages as indicators of anthropogenic impacts on coastal dunes,ECOLOGICAL INDICATORS,30,,196,204,,10.1016/j.ecolind.2013.02.022,2013,,,,,
Aaron,Yes,No,56,Brandao et al. 2013,Alexa,ISI,"Brandao, Manoela Costa; Koettker, Andrea Green; Freire, Andrea Santarosa",Abundance and composition of decapod larvae at Saint Paul's Rocks (equatorial Atlantic),MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,34,2,171,185,,10.1111/j.1439-0485.2012.00531.x,2013,abundances,,,,
Aaron,Yes,No,57,Kelmo et al. 2013,Alexa,ISI,"Kelmo, Francisco; Attrill, Martin J.","Severe Impact and Subsequent Recovery of a Coral Assemblage following the 1997-8 El Nino Event: A 17-Year Study from Bahia, Brazil",PLOS ONE,8,5,,,e65073,10.1371/journal.pone.0065073,2013,,,,,
Aaron,Yes,No,58,Pawlik et al. 2013,Alexa,ISI,"Pawlik, Joseph R.; Loh, Tse-Lynn; McMurray, Steven E.; Finelli, Christopher M.","Sponge Communities on Caribbean Coral Reefs Are Structured by Factors That Are Top-Down, Not Bottom-Up",PLOS ONE,8,5,,,e62573,10.1371/journal.pone.0062573,2013,grouped by coral type thought,,,,
Aaron,Yes,No,75,DeBose et al. 2013,Alexa,ISI,"DeBose, J. L.; Nuttall, M. F.; Hickerson, E. L.; Schmahl, G. P.","A high-latitude coral community with an uncertain future: Stetson Bank, northwestern Gulf of Mexico",CORAL REEFS,32,1,255,267,,10.1007/s00338-012-0971-3,2013,long term monitoring,,,,
Aaron,Yes,No,76,Muko et al. 2013,Alexa,ISI,"Muko, S.; Arakaki, S.; Nagao, M.; Sakai, Kazuhiko",Growth form-dependent response to physical disturbance and thermal stress in Acropora corals,CORAL REEFS,32,1,269,280,,10.1007/s00338-012-0967-z,2013,"grouped by coral morphological types, etc.",,,,
Aaron,Yes,Yes,82,Moniz et al. 2013,Alexa,ISI,"Moniz, Monica B. J.; Rindi, Fabio; Stephens, Kelly; Maggi, Elena; Collins, Patrick; McCormack, Grace P.",Composition and temporal variation of the algal assemblage associated with the haplosclerid sponge Haliclona indistincta (Bowerbank),AQUATIC BOTANY,105,,50,53,,10.1016/j.aquabot.2012.12.002,2013,might be more seasonal data (one year),,,,
Aaron,Yes,"Yes
",88,WEhkamp et al. 2013,Alexa,ISI,"Wehkamp, Stephanie; Fischer, Philipp",Impact of coastal defence structures (tetrapods) on a demersal hard-bottom fish community in the southern North Sea,MARINE ENVIRONMENTAL RESEARCH,83,,82,92,,10.1016/j.marenvres.2012.10.013,2013,use artificial defense structures,,,,
