-,Completed?,Study Used?,Study ID,Author.Year,Filtered,Database,Authors,Title,Reason Rejected
Alexa,Yes,Yes,13,Truong et al. 2014,Alexa,ISI,"Trinh Si-Hai Truong; Cho Nguyen; Nguyen-Ngoc Lam; Jensen, K. Thomas","Seasonal and spatial distribution of mesozooplankton in a tropical estuary, Nha Phu, South Central Viet Nam",
Alexa,Yes,Yes,32,Rigual-Hernandez et al. 2013,Alexa,ISI,"Rigual-Hernandez, Andres S.; Barcena, Maria A.; Jordan, Richard W.; Sierro, Francisco J.; Flores, Jose A.; Meier, K. J. Sebastian; Beaufort, Luc; Heussner, Serge",Diatom fluxes in the NW Mediterranean: evidence from a 12-year sediment trap record and surficial sediments,
Alexa,Yes,Yes,79,Jin et al. 2013,Alexa,ISI,Jin XianShi; Shan XiuJuan; Li XianSen; Wang Jun; Cui Yi; Zuo Tao,"Long-term changes in the fishery ecosystem structure of Laizhou Bay, China",
Alexa,Yes,No,93,Valdiva et al. 2013,Alexa,ISI,"Valdivia, Nelson; Gonzalez, Andres E.; Manzur, Tatiana; Broitman, Bernardo R.",Mesoscale Variation of Mechanisms Contributing to Stability in Rocky Shore Communities,Only one time point
Alexa,Yes,No,119,Aubry et al. 2012,Alexa,ISI,"Aubry, Fabrizio Bernardi; Cossarini, Gianpiero; Acri, Francesco; Bastianini, Mauro; Bianchi, Franco; Camatti, Elisa; De Lazzari, Amelia; Pugnetti, Alessandra; Solidoro, Cosimo; Socal, Giorgio",Plankton communities in the northern Adriatic Sea: Patterns and changes over the last 30 years,No yearly breakdown of richness over years
Alexa,Yes,Yes,130,Pacheco et al. 2012,Alexa,ISI,"Pacheco, Aldo S.; Riascos, Jose M.; Orellana, Fernanda; Oliva, Marcelo E.",El Nino-Southern Oscillation cyclical modulation of macrobenthic community structure in the Humboldt Current ecosystem,
Alexa,Yes,No,168,Guijarro et al. 2012,Alexa,ISI,"Guijarro, Beatriz; Fanelli, Emanuela; Moranta, Joan; Cartes, Joan E.; Massuti, Enric",Small-scale differences in the distribution and population dynamics of pandalid shrimps in the western Mediterranean in relation to environmental factors,Only looks at one guy
Alexa,Yes,No,223,,Daniel,ISI,"Batten, Sonia D.; Walne, Anthony W.",Variability in northwards extension of warm water copepods in the NE Pacific,No diversity data by year and sampling methods (area) vary but there was no data on how they varied
Alexa,Yes,Yes,230,,Daniel,ISI,"Jelbart, J. E.; Schreider, M.; MacFarlane, G. R.",An investigation of benthic sediments and macrofauna within pearl farms of Western Australia,
Alexa,Yes,No,247,,Daniel,ISI,"Dijkstra, Jennifer A.; Westerman, Erica L.; Harris, Larry G.","The effects of climate change on species composition, succession and phenology: a case study",No annual species richness/diversity/high resolution taxonomic data
Alexa,Yes,No,328,,Jillian,ISI,"Hewitt, Judi E.; Thrush, Simon F.","Empirical evidence of an approaching alternate state produced by intrinsic community dynamics, climatic variability and management actions",No species specific data given
Alexa,Yes,Yes,337,,Jillian,ISI,"Peterson, William T.",COPEPOD SPECIES RICHNESS AS AN INDICATOR OF LONG-TERM CHANGES IN THE COASTAL ECOSYSTEM OF THE NORTHERN CALIFORNIA CURRENT,
Alexa,,,343,,Jillian,ISI,"Baker, Rebekah Duncan; Hallock, Pamela; Moses, Elizabeth F.; Williams, Dana E.; Ramirez, Alexa","LARGER FORAMINIFERS OF THE FLORIDA REEF TRACT, USA: DISTRIBUTION PATTERNS ON REEF-RUBBLE HABITATS",
Alexa,Yes,Yes,360,,Jillian,ISI,"Primo, Ana Ligia; Azeiteiro, Ulisses Miranda; Marques, Sonia Cotrim; Martinho, Filipe; Pardal, Miguel Angelo",Changes in zooplankton diversity and distribution pattern under varying precipitation regimes in a southern temperate estuary,
Alexa,Yes,Yes,394,,Jillian,ISI,"Ruflno, M. M.; Gaspar, M. B.; Maynou, F.; Monteiro, C. C.",Regional and temporal changes in bivalve diversity off the south coast of Portugal,
Alexa,Yes,No,421,,Jillian,ISI,"Allen, Dennis M.; Ogburn-Matthews, Virginia; Buck, Tracy; Smith, Erik M.",Mesozooplankton Responses to Climate Change and Variability in a Southeastern US Estuary (1981-2003),No annual breakdown of species richness
Alexa,Yes,Yes,440,,Marc,ISI,"James, Nicola C.; Whitfield, Alan K.; Cowley, Paul D.",Long-term stability of the fish assemblages in a warm-temperate South African estuary,
Alexa,Yes,No,443,,Marc,ISI,"Richards, Zoe T.; Beger, Maria; Pinca, Silvia; Wallace, Carden C.",Bikini Atoll coral biodiversity resilience five decades after nuclear testing,I think sampling methods differed between years.
Alexa,Yes,No,464,,Marc,ISI,"Branco, Joaquirn O.","Aquatic avifauna at Saco da Fazenda (Itajai, Santa Catarina, Brazil): one decade of monitoring",Not marine birds
Alexa,Yes,No,490,,Marc,ISI,"Smith, Tyler B.; Purcell, John; Barimo, John F.",The rocky intertidal biota of the Florida Keys: Fifty-two years of change after Stephenson and Stephenson (1950),Different sampling methods and taxonomic resolution across years
Alexa,Yes,No,508,,Marc,ISI,"Nagai, Naoki; Tadokoro, Kazuaki; Kuroda, Kazunori; Sugimoto, Takashige",Occurrence characteristics of chaetognath species along the PM transect in the Japan Sea during 1972-2002,Only present data for 'important'/dominant chaetognath species
Alexa,Yes,No,510,,Marc,ISI,"Lan, Zhuhong; Chen, Guizhu",[Degradation of main ecosystems in South China Sea and corresponding conservation countermeasures].,Not a research paper
Alexa,Yes,No,535,,Marc,ISI,"Tian, YJ; Kidokoro, H; Watanabe, T",Long-term changes in the fish community structure from the Tsushima warm current region of the Japan/East Sea with an emphasis on the impacts of fishing and climate regime shift over the last four decades,Uses fisheries data that does not have standardised methods
Alexa,,,552,,Patrick,ISI,"Danovaro, R; Dell'Anno, A; Pusceddu, A",Biodiversity response to climate change in a warm deep sea,
Alexa,Yes,Yes,554,,Patrick,ISI,"Conlan, KE; Kim, SL; Lenihan, HS; Oliver, JS","Benthic changes during 10 years of organic enrichment by McMurdo Station, Antarctica",
Alexa,Yes,No,566,,Patrick,ISI,"Shackell, NL; Frank, KT","Marine fish diversity on the Scotian Shelf, Canada",No annual breakdown of species richness
Alexa,,,602,,Tenzing,ISI,"Blanchard, F",Dynamics of harvested demersal fish communities: analysis of the species diversity in the Bay of Biscay (Atlantic Ocean) and in the Gulf of Lions (Mediterranean Sea).,
Alexa,,,607,,Tenzing,ISI,"Ghertsos, K; Luczak, C; Dewarumez, JM; Dauvin, JC",Influence of spatial scales of observation on temporal change in diversity and trophic structure of fine-sand communities from the English Channel and the southern North Sea,
Alexa,,,614,,Tenzing,ISI,"Francour, P","Long term monitoring of Posidonia oceanica fish assemblages of the Scandola Marine Reserve (Corsica, northwestern Mediterranean).",
Alexa,,,620,,Tenzing,ISI,"Lazzari, MA; Sherman, S; Brown, CS; King, J; Joule, BJ; Chenoweth, SB; Langton, RW",Seasonal and annual variations in abundance and species composition of two nearshore fish communities in Maine,
Alexa,,,641,,Tenzing,ISI,"Wilson, RS; Heislers, S; Poore, GCB","Changes in benthic communities of Port Phillip Bay, Australia, between 1969 and 1995",
Alexa,Yes,No,646,,Jarrett,ISI,"Bebars, MI; Lasserre, G; Hoai, TL",Analysis of Egyptian marine and lagoon fishery landings in relation to the construction of the Aswan Dam,Low taxonomic resolution
Alexa,Yes,No,649,,Jarrett,ISI,"Stull, JK; Tang, CL","Demersal fish trawls off Palos Verdes, southern California, 1973-1993",
