Taxa list,1991-C,1991-SE,1991-F,2008-C,2008-SE,2008-F

Acrosorium ciliolatum (Harv.) Kylin,0,0,5.1,1.8,0.2,73.7

Aglaothamnion cordatum (BÌürgesen) Feldm.-Maz.,0.1,0,10.5,0.1,0,6.5

Aglaothamnion gallicum (NÌ_geli) Halos ex ArdrÌ©,e,,e,0,0,0.3

Aglaothamnion tenuissimum (Bonnem.) Feldm.-Maz.,e,e,e,7,0.8,64.1

Aglaothamnion tripinnatum (C. Agardh) Feldm.-Maz.,e,e,e,0,0,2.5

Ahnfeltia plicata (Huds.) Fr.,0,0,0.3,e,e,e

Ahnfeltiopsis devoniensis (Grev.) P.C. Silva & DeCew,0,0,1.1,0,0,1.7

Anotrichium furcellatum (J. Agardh) Baldock,0,0,0.6,0,0,0.6

Antithamnion amphigeneum A. Millar,e,e,e,0.2,0.1,6.8

Antithamnion nipponicum Yamada & Inagaki,e,e,e,0,0,4

"Antithamnionella multiglandulosa A.Secilla, A.Santolaria, I.DÌ_ez & J.M.Gorostiaga",e,e,e,0,0,2.3

Antithamnionella ternifolia (J.D.Hooker & Harvey)Lyle,0.1,0,4,0.4,0.1,26.3

Aphanocladia stichidiosa (Funk) ArdrÌ©,e,e,e,0.4,0.1,9.3

Apoglossum ruscifolium (Turner) J. Agardh,0,0,8.5,0.1,0,24

Asparagopsis armata Harv.,0.1,0,13.3,0.1,0,3.4

Bonnemaisonia asparagoides (Woodw.) C. Agardh,0.2,0.2,6.2,0.2,0,15.8

Bonnemaisonia clavata Hamel,e,e,e,0,0,1.1

Bonnemaisonia hamifera Har.,0.4,0.1,29.7,0,0,5.4

Bornetia secundiflora (J. Agardh) Thur.,0,0,1.1,0.4,0,49.4

Calliblepharis ciliata (Huds.) KÌ_tz.,0.4,0.2,13.8,0,0,1.4

Callithamnion granulatum (Ducluz.) C. Agardh.,e,e,e,0,0,1.7

Callithamnion tetragonum (With.) Gray,e,e,e,0,0,3.4

