Site,year,richness,upper SE richness,richness SE,shannon,upper shannon SE,shannon SE,simpson,upper simpson SE,simpson SE,pielou,upper pielou,pielou SE
KO,1991,10.76658093,11.49486364,0.728282711,1.138838475,1.192478322,0.053639847,0.587814906,0.612424675,0.024609768,0.493757251,0.515963421,0.02220617
GA,1991,8.562445865,9.262590145,0.70014428,0.843617665,0.867311958,0.023694293,0.489017678,0.506056649,0.017038971,0.406266351,0.420225357,0.013959006
ME,1991,9.654793941,10.10390166,0.449107715,1.267090139,1.30338778,0.036297641,0.630712042,0.650903329,0.020191288,0.575765582,0.591630122,0.01586454
MA,1991,11.84603585,12.53514365,0.689107803,1.548396854,1.590744102,0.042347247,0.716228579,0.732001386,0.015772807,0.6342235,0.651985962,0.017762462
VI,1991,9.202144893,9.666936223,0.46479133,1.068965517,1.15466828,0.085702763,0.496238738,0.533476478,0.037237739,0.488352691,0.519444373,0.031091682
AR,1991,10.29469132,10.98548516,0.690793832,1.164750958,1.283222424,0.118471466,0.533148248,0.578595478,0.04544723,0.512542404,0.559498625,0.046956222
LE,1991,14.35405275,15.3246246,0.970571855,1.431941924,1.560496068,0.128554144,0.59593743,0.640749707,0.044812278,0.546252172,0.585591969,0.039339796
BA,1991,9.402683099,9.912490134,0.509807035,1.202561,1.310949788,0.108388788,0.582996191,0.636637949,0.053641758,0.551406531,0.598359898,0.046953368
SJ,1991,8.297045153,9.482220757,1.185175604,1.331115144,1.431941924,0.10082678,0.653987382,0.686814122,0.03282674,0.703772135,0.73930467,0.035532535
MX,1991,12.24671555,13.13243178,0.885716229,1.084089534,1.169792297,0.085702763,0.480072242,0.514785135,0.034712893,0.436706365,0.463357194,0.026650828
GI,1991,10.26216089,10.95296146,0.690800566,1.094172212,1.159709619,0.065537407,0.54917728,0.576946847,0.027769567,0.480565976,0.507849445,0.027283469
NO,1991,12.01384527,12.90725301,0.893407739,1.35380117,1.489917322,0.136116152,0.592410126,0.639104817,0.046694691,0.544732883,0.581535457,0.036802574
EL,1991,11.89741013,12.58268564,0.685275517,1.172312966,1.258015729,0.085702763,0.562411214,0.594595521,0.032184307,0.48389186,0.517521716,0.033629856
EA,1991,8.374404105,9.078448626,0.704044521,1.164750958,1.210123009,0.045372051,0.611313742,0.632771194,0.021457451,0.575978682,0.60453219,0.028553508
OG,1991,14.74144258,15.96151512,1.220072536,1.479834644,1.578140754,0.09830611,0.645705887,0.674734136,0.029028249,0.559556657,0.589380203,0.029823546
SC,1991,10.22963046,11.13212877,0.902498304,1.096692882,1.270619076,0.173926195,0.524181304,0.580997822,0.056816518,0.470163077,0.527270093,0.057107015
EG,1991,13.84943435,14.46456414,0.615129785,1.179874975,1.260536398,0.080661424,0.512491266,0.542789419,0.030298153,0.458183809,0.488006403,0.029822595
ON,1991,13.40333106,14.03410345,0.630772382,1.099213551,1.164750958,0.065537407,0.532361805,0.564542371,0.032180566,0.428439224,0.449377258,0.020938034
KO,2008,17.14016516,18.22535573,1.085190567,1.618471466,1.69913289,0.080661424,0.694493395,0.720365586,0.025872192,0.580688764,0.601624896,0.020936131
GA,2008,28.78209239,29.93044291,1.148350514,2.185622101,2.246118169,0.060496068,0.824187258,0.838708863,0.014521606,0.654372873,0.672138189,0.017765316
ME,2008,21.33888749,22.0805617,0.741674209,1.971365195,2.029340593,0.057975398,0.798606826,0.814383374,0.015776548,0.646201817,0.665237172,0.019035355
MA,2008,24.32111918,25.20082778,0.879708605,2.09235733,2.147812059,0.055454729,0.798286077,0.814693836,0.016407759,0.660239784,0.677367703,0.017127919
VI,2008,21.45298827,22.70367747,1.250689196,1.951199839,2.019257915,0.068058076,0.78659978,0.802368847,0.015769067,0.647625021,0.666022027,0.018397006
AR,2008,24.37185614,25.66476875,1.292912607,2.074712644,2.132688042,0.057975398,0.812774953,0.826037876,0.013262923,0.65721833,0.674351005,0.017132675
