"","year","Genus","species","Abundance"
"1","1997","Balaenoptera","acutorostrata","2"
"2","1997","Balaenoptera","musculus","2"
"3","1997","Balaenoptera","physalus","1"
"4","1997","Berardius","bairdii","0"
"5","1997","Callorhinus","ursinus","0"
"6","1997","Delphinus","capensis","5"
"7","1997","Delphinus","delphis","5"
"8","1997","Enhydra","lutris","10"
"9","1997","Eschrichtius","robustus","0"
"10","1997","Eumetopias","jubatus","0"
"11","1997","Grampus","griseus","3"
"12","1997","Lagenorhynchus","obliquidens","8"
"13","1997","Lissodelphis","borealis","0"
"14","1997","Megaptera","novaeangliae","21"
"15","1997","Mirounga","angustirostris","3"
"16","1997","Orcinus","orca","0"
"17","1997","Phoca","vitulina","8"
"18","1997","Phocoena","phocoena","17"
"19","1997","Phocoenoides","dalli","15"
"20","1997","Tursiops","truncatus","2"
"21","1997","Zalophus","californianus","307"
"22","1997","Ziphius","cavirostris","0"
"23","1998","Balaenoptera","acutorostrata","0"
"24","1998","Balaenoptera","musculus","1"
"25","1998","Balaenoptera","physalus","2"
"26","1998","Berardius","bairdii","0"
"27","1998","Callorhinus","ursinus","1"
"28","1998","Delphinus","capensis","10"
"29","1998","Delphinus","delphis","2"
"30","1998","Enhydra","lutris","24"
"31","1998","Eschrichtius","robustus","0"
"32","1998","Eumetopias","jubatus","0"
"33","1998","Grampus","griseus","4"
"34","1998","Lagenorhynchus","obliquidens","19"
"35","1998","Lissodelphis","borealis","0"
"36","1998","Megaptera","novaeangliae","47"
"37","1998","Mirounga","angustirostris","14"
"38","1998","Orcinus","orca","0"
"39","1998","Phoca","vitulina","26"
"40","1998","Phocoena","phocoena","20"
"41","1998","Phocoenoides","dalli","19"
"42","1998","Tursiops","truncatus","1"
"43","1998","Zalophus","californianus","165"
"44","1998","Ziphius","cavirostris","0"
"45","1999","Balaenoptera","acutorostrata","1"
"46","1999","Balaenoptera","musculus","1"
"47","1999","Balaenoptera","physalus","0"
"48","1999","Berardius","bairdii","0"
"49","1999","Callorhinus","ursinus","0"
"50","1999","Delphinus","capensis","0"
"51","1999","Delphinus","delphis","0"
"52","1999","Enhydra","lutris","10"
"53","1999","Eschrichtius","robustus","4"
"54","1999","Eumetopias","jubatus","0"
"55","1999","Grampus","griseus","5"
"56","1999","Lagenorhynchus","obliquidens","31"
"57","1999","Lissodelphis","borealis","5"
"58","1999","Megaptera","novaeangliae","48"
"59","1999","Mirounga","angustirostris","8"
"60","1999","Orcinus","orca","1"
"61","1999","Phoca","vitulina","16"
"62","1999","Phocoena","phocoena","52"
"63","1999","Phocoenoides","dalli","14"
"64","1999","Tursiops","truncatus","0"
"65","1999","Zalophus","californianus","182"
"66","1999","Ziphius","cavirostris","0"
"67","2000","Balaenoptera","acutorostrata","0"
"68","2000","Balaenoptera","musculus","7"
"69","2000","Balaenoptera","physalus","0"
"70","2000","Berardius","bairdii","1"
"71","2000","Callorhinus","ursinus","0"
"72","2000","Delphinus","capensis","2"
"73","2000","Delphinus","delphis","0"
"74","2000","Enhydra","lutris","14"
"75","2000","Eschrichtius","robustus","0"
"76","2000","Eumetopias","jubatus","0"
"77","2000","Grampus","griseus","9"
"78","2000","Lagenorhynchus","obliquidens","32"
"79","2000","Lissodelphis","borealis","3"
"80","2000","Megaptera","novaeangliae","53"
"81","2000","Mirounga","angustirostris","4"
"82","2000","Orcinus","orca","2"
"83","2000","Phoca","vitulina","6"
"84","2000","Phocoena","phocoena","11"
"85","2000","Phocoenoides","dalli","3"
"86","2000","Tursiops","truncatus","0"
"87","2000","Zalophus","californianus","241"
"88","2000","Ziphius","cavirostris","0"
"89","2001","Balaenoptera","acutorostrata","0"
"90","2001","Balaenoptera","musculus","4"
"91","2001","Balaenoptera","physalus","0"
"92","2001","Berardius","bairdii","1"
"93","2001","Callorhinus","ursinus","0"
"94","2001","Delphinus","capensis","4"
"95","2001","Delphinus","delphis","0"
"96","2001","Enhydra","lutris","14"
"97","2001","Eschrichtius","robustus","0"
"98","2001","Eumetopias","jubatus","0"
"99","2001","Grampus","griseus","5"
"100","2001","Lagenorhynchus","obliquidens","11"
"101","2001","Lissodelphis","borealis","2"
"102","2001","Megaptera","novaeangliae","20"
"103","2001","Mirounga","angustirostris","4"
"104","2001","Orcinus","orca","0"
"105","2001","Phoca","vitulina","18"
"106","2001","Phocoena","phocoena","9"
"107","2001","Phocoenoides","dalli","3"
"108","2001","Tursiops","truncatus","0"
"109","2001","Zalophus","californianus","193"
"110","2001","Ziphius","cavirostris","0"
"111","2002","Balaenoptera","acutorostrata","0"
"112","2002","Balaenoptera","musculus","20"
"113","2002","Balaenoptera","physalus","0"
"114","2002","Berardius","bairdii","0"
"115","2002","Callorhinus","ursinus","0"
"116","2002","Delphinus","capensis","1"
"117","2002","Delphinus","delphis","0"
"118","2002","Enhydra","lutris","33"
"119","2002","Eschrichtius","robustus","0"
"120","2002","Eumetopias","jubatus","1"
"121","2002","Grampus","griseus","40"
"122","2002","Lagenorhynchus","obliquidens","22"
"123","2002","Lissodelphis","borealis","4"
"124","2002","Megaptera","novaeangliae","35"
"125","2002","Mirounga","angustirostris","1"
"126","2002","Orcinus","orca","0"
"127","2002","Phoca","vitulina","20"
"128","2002","Phocoena","phocoena","36"
"129","2002","Phocoenoides","dalli","6"
"130","2002","Tursiops","truncatus","0"
"131","2002","Zalophus","californianus","207"
"132","2002","Ziphius","cavirostris","0"
"133","2003","Balaenoptera","acutorostrata","0"
"134","2003","Balaenoptera","musculus","31"
"135","2003","Balaenoptera","physalus","0"
"136","2003","Berardius","bairdii","1"
"137","2003","Callorhinus","ursinus","0"
"138","2003","Delphinus","capensis","0"
"139","2003","Delphinus","delphis","0"
"140","2003","Enhydra","lutris","35"
"141","2003","Eschrichtius","robustus","0"
"142","2003","Eumetopias","jubatus","1"
"143","2003","Grampus","griseus","18"
"144","2003","Lagenorhynchus","obliquidens","5"
"145","2003","Lissodelphis","borealis","2"
"146","2003","Megaptera","novaeangliae","18"
"147","2003","Mirounga","angustirostris","1"
"148","2003","Orcinus","orca","1"
"149","2003","Phoca","vitulina","7"
"150","2003","Phocoena","phocoena","16"
"151","2003","Phocoenoides","dalli","14"
"152","2003","Tursiops","truncatus","0"
"153","2003","Zalophus","californianus","197"
"154","2003","Ziphius","cavirostris","0"
"155","2004","Balaenoptera","acutorostrata","0"
"156","2004","Balaenoptera","musculus","10"
"157","2004","Balaenoptera","physalus","0"
"158","2004","Berardius","bairdii","0"
"159","2004","Callorhinus","ursinus","0"
"160","2004","Delphinus","capensis","0"
"161","2004","Delphinus","delphis","0"
"162","2004","Enhydra","lutris","35"
"163","2004","Eschrichtius","robustus","0"
"164","2004","Eumetopias","jubatus","1"
"165","2004","Grampus","griseus","18"
"166","2004","Lagenorhynchus","obliquidens","5"
"167","2004","Lissodelphis","borealis","2"
"168","2004","Megaptera","novaeangliae","18"
"169","2004","Mirounga","angustirostris","1"
"170","2004","Orcinus","orca","1"
"171","2004","Phoca","vitulina","7"
"172","2004","Phocoena","phocoena","16"
"173","2004","Phocoenoides","dalli","14"
"174","2004","Tursiops","truncatus","0"
"175","2004","Zalophus","californianus","79"
"176","2004","Ziphius","cavirostris","0"
"177","2005","Balaenoptera","acutorostrata","0"
"178","2005","Balaenoptera","musculus","2"
"179","2005","Balaenoptera","physalus","0"
"180","2005","Berardius","bairdii","0"
"181","2005","Callorhinus","ursinus","3"
"182","2005","Delphinus","capensis","0"
"183","2005","Delphinus","delphis","0"
"184","2005","Enhydra","lutris","56"
"185","2005","Eschrichtius","robustus","0"
"186","2005","Eumetopias","jubatus","0"
"187","2005","Grampus","griseus","12"
"188","2005","Lagenorhynchus","obliquidens","2"
