,Settlers,,Recruits,

,Y1,Y2,Y1,Y2

Species,settlers-2009,settlers-2010,recruits-2009,recruits-2010

Atherina spp.,186,"2,724","1,997",366

Apogon imberbis,5,25,1,100

Argentina sphyraena,,,,

Arnoglossus laterna,,,,

Arnoglossus spp.,,,,

Auxis rochei,,,,

Belone belone,,15,,9

Blenniidae,,,,

Boops boops,,779,"1,996","1,586"

Bothus podas,,2,,2

Caranx chrysos,,,,

Caranx ronchus,,,,

Chromis chromis,890,"2,929","2,239","7,125"

Conger conger,,,,

Coris julis,88,302,658,"1,589"

Dactylopterus volitans,,,,

Dentex dentex,1,4,34,17

Dicentrachus labrax,,5,,16

Diplodus annularis,3,517,49,538

Diplodus cervinus,,343,1,40

Diplodus puntazzo,10,93,20,355

Diplodus sargus,30,347,556,346

Diplodus spp.,,,,

Diplodus vulgaris,373,"1,510",584,296

Echiichthys vipera,,,,

Engraulis encrasicolus,,,,

Epinephelus costae,,,2,

Epinephelus marginatus,2,2,2,6

Gaidropsaurus mediterraneus,,,,

Gymnammodytes semisquamatus,,102,,246

Hippocampus hippocampus,,,,

Labrus merula,3,4,16,10

Litognathus mormyrus,,14,,86

Labrus viridis,2,,3,1

Monochirus hispidus,,,,

Mycteroperca rubra,,,,1

Mullus spp.,,56,23,11

Mugilidae,192,"1,035","7,126","5,911"

Oblada melanura,7,"6,625","3,603","2,021"

Pagellus bogaraveo,,32,,

Pagrus pagrus,,,,

Pomatoschisthus spp.,,592,,121

Pomatomus saltatrix,,,,

Sarda sarda,,,,

Sardina pilchardus,,,,

Sarpa salpa,822,"5,332","2,456","10,514"

Sciaena umbra,,,,

Scorpaena porcus,,,,

Scorpaena scrofa,,,,

Seriola dumerilii,,,,

Serranus cabrilla,,,,

Serranus hepatus,,,,

Serranus scriba,,8,,199

Solea senegalensis,,,,

Sparus aurata,,,,

Spicara maena,139,3,,55

Spondyliosoma cantharus,,8,,

Sphyraena viridensis,,228,,15

Symphodus cinereus,,12,,2

Symphodus mediterraneus,17,175,,143

Symphodus ocellatus,42,324,,597

Symphodus roissali,25,91,,275

Symphodus rostratus,,8,,19

Symphodus spp.,,,,

Symphodus tinca,4,53,,715

Thalassoma pavo,"1,251","1,894",,"1,238"

Trachinotus ovatus,124,149,,665

Trachurus spp.,,,,

Tripterygion spp.,,,,

Uranoscopus scaber,,,,

Total abundance,"4,216","26,342",,"25,289"

Total richness,30,36,,30
