group,year,abundance,richness,shannon,simpson,pielou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post.larvae.,Y2,5085,49,2.296059,0.8599917,0.5899705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlers.,Y1,4216,22,1.990371,0.8149269,0.6439157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlers.,Y2,26342,36,2.346124,0.860127,0.6546984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recruits.,Y1,25289,30,2.356521,0.8642006,0.6928503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recruits.,Y2,44496,41,2.274022,0.856802,0.6123542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,Study ID,Reference,Collector,coral,plant,algae,fish,inverts,mobile inverts,sessile inverts,marine mammals,phytoplankton,zooplankton,mesh size,mesh size units,Descriptor of Taxa Sampled,Sys,Lat,Long,Loc,Event?,Event type,A priori?,Year of Event,Notes,Vis,Trwl,Line,Drdg,Trp,Source,Site,n1,n2,sub1,sub2,I1,I2,ind1_error,ind1_error_type,ind2_error,ind2_error_type,P1,P2,SiSz,SiSz (units),PltSz,PltSz (units),T1,T1m,T2,T2m,SppR1,SppR1 Error,SppR1 Error Type,SppR2,SppR2 Error,SppR2 Error Type,Shan1,Shan1 Error,Shan1 Error Type,Shan2,Shan2 Error,Shan2 Error Type,Simps1,Simps1 Error,Simps1 Error Type,Simps2,Simps2 Error,Simps2 Error Type,Even1,Even1 Error,Even1 Error Type,Even2,Even2 Error,Even2 Error Type
JD,34,Felix-Hackradt et al. 2013,TI,0,0,0,1,0,0,0,0,0,0,NA,NA,fish recruits,coral reef,37.633333,-0.7,SW Mediterranean Sea,No,No,No,,,1,0,0,0,0,Table 1 and diversity calcs,Cape of Palos and Grosa Island - Recruits,10,10,,,25289,44496,NA,NA,NA,NA,NA,NA,NA,NA,20,m2,2009,,2010,,30,,,41,,,2.356521,,,2.274022,,,0.8642006,,,0.856802,,,0.6439157,,,0.6546984,,
JD,34,Felix-Hackradt et al. 2013,TI,0,0,0,1,0,0,0,0,0,0,NA,NA,fish settlers,coral reef,37.633333,-0.7,SW Mediterranean Sea,No,No,No,,,1,0,0,0,0,Table 1 and diversity calcs,Cape of Palos and Grosa Island - Settlers,10,10,,,4216,26342,NA,NA,NA,NA,NA,NA,NA,NA,20,m2,2009,,2010,,22,,,36,,,1.990371,,,2.346124,,,0.8149269,,,0.860127,,,0.6928503,,,0.6123542,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site,,lat,lon,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Grosa Island,37.73100186,-0.713568075,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Grosa Island,37.72714286,-0.711971831,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Grosa Island,37.72380334,-0.710469484,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Grosa Island,37.72699443,-0.701455399,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Grosa Island,37.73011132,-0.703239437,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
