Year,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006

Season,W,S,SM,A,W,S,SM,A,W,S,SM,A,W,S,SM,A

Ceriodaphnia sp.,0,0,0,0,15.1,6.8,0,0.1,0.4,0,0,0.2,30.5,24.5,0.1,27.3

Daphnia longispina,130,277.1,0.7,21.1,52.4,0.4,0,0,0,0,0,0,33.2,10.2,0,2.1

Evadne nordmanni,0,0.9,7.3,17.8,0,0,3.7,0,0,5.6,57.8,69.6,1.1,2.3,22.9,4.3

Penilia avirostris,0,0,0,3.6,0,0,0,0,0,0,0,61.7,2.1,0.4,5.3,2296.7

Podon leuckarti,0,1.3,11.5,26.4,0,0,38.5,0.7,0,1.2,15.8,13.4,0.1,14.4,7.3,86.3

Podon polyphemoides,0,0.5,1.6,0.2,0,0,4.3,0,0,36,18.9,74.5,0.1,9,47.4,14.9

Acanthocyclops robustus,12.7,99,0.7,2,39,0.9,0,0.2,6.7,0,0,1.8,20.5,5.4,0.1,4.6

Acartia clausi,3.5,123.3,184.9,239.6,45.1,16.2,175.8,188.9,70.4,82.6,156.8,148.7,3,161.6,160.2,167.3

Acartia tonsa,47.2,282.8,76.2,1030.9,1088.3,2450.3,503.5,272.8,265.5,683.7,1111.1,882.5,201,229.2,23.5,821.2

Clausocalanus arcuicornis,0.5,5.4,7.9,5.7,3.8,1.3,10.3,0.1,3,3.1,6.7,16.5,1.7,2.4,6.3,100.2

Diaptomus castor,21.6,124.4,3.3,109.9,79.7,49.1,0,0.03,13.8,0.4,0,0.2,305.6,249.3,0.2,95.1

Oithona plumifera,0.4,0.5,2.6,2.9,3,2.8,5.2,0.4,2,0.6,27.1,9.5,0.9,5.3,47.5,1.8

Paracalanus parvus,0.6,12.1,2.3,3.4,27.4,17.9,3.8,0.4,0.2,1.3,2.9,1.2,1.3,45.7,5.3,5.1

Temora longicornis,0.1,9.8,56,30.4,81.1,81.3,355,1.8,7,13,45.5,179.9,3.4,66.4,19.6,12.5

Diphyes sp.,0,0,0,0,0,0,0,0,0,0.04,34.7,5.3,0.2,33.3,108.1,3.8

Muggiaea atlantica,0,15.1,294,19,3.7,12.4,2.9,0.1,0.1,0.2,31.6,8.9,0.8,19.8,39.6,0.9
