QC,Study ID,Reference,Collector,coral,plant,algae,fish,inverts,mobile inverts,sessile inverts,marine mammals,phytoplankton,zooplankton,mesh size,mesh size units,Descriptor of Taxa Sampled,Sys,Lat,Long,Loc,Event?,Event type,A priori?,Year of Event,Notes,Vis,Trwl,Line,Drdg,Trp,Source,Site,n1,n2,sub1,sub2,I1,I2,ind1_error,ind1_error_type,ind2_error,ind2_error_type,P1,P2,SiSz,SiSz (units),PltSz,PltSz (units),T1,T1m,T2,T2m,SppR1,SppR1 Error,SppR1 Error Type,SppR2,SppR2 Error,SppR2 Error Type,Shan1,Shan1 Error,Shan1 Error Type,Shan2,Shan2 Error,Shan2 Error Type,Simps1,Simps1 Error,Simps1 Error Type,Simps2,Simps2 Error,Simps2 Error Type,Even1,Even1 Error,Even1 Error Type,Even2,Even2 Error,Even2 Error Type
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,M,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2003,Feb,2003,May,11.04702576,,,17.68788361,,,2.240177647,,,2.438000288,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,M,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2003,May,2003,Aug,17.68788361,,,19.47222932,,,2.438000288,,,2.403954488,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,M,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2003,Aug,2003,Nov,19.47222932,,,24.1263322,,,2.403954488,,,2.303683955,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,M,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2003,Nov,2004,Feb,24.1263322,,,20.83341521,,,2.303683955,,,2.3689425,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,M,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2004,Feb,2004,May,20.83341521,,,18.86401897,,,2.3689425,,,2.478367243,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,M,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2004,May,2004,Aug,18.86401897,,,18.88334283,,,2.478367243,,,2.620969855,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,M,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2004,Aug,2004,Nov,18.88334283,,,13.82343886,,,2.620969855,,,0.986476661,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,M,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2004,Nov,2005,Feb,13.82343886,,,12.07708583,,,0.986476661,,,1.95688842,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,M,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2005,Feb,2005,May,12.07708583,,,18.05470945,,,1.95688842,,,2.187790675,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,M,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2005,May,2005,Aug,18.05470945,,,24.69523978,,,2.187790675,,,3.147050347,,,,,,,,,,,,,,
