Species,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005

Argyrosomus japonicus,0,0,0,0,0,0,0,0,0,0.1,0.1

Caranx sexfasciatus,0,0,0,0,0,0,0,0,0,0,0.1

Diplodus sargus capensis,0,0,0,0,0,0,0,0,0,0.1,0

Lichia amia,0.5,0,0,0,0,0,0,0,0,0,0.3

Lithognathus lithognathus,1.5,0.9,7.7,2.8,2,1,0.4,0.3,1.8,2.1,3.1

Liza dumerili,0.2,0.8,4.6,13.3,0.5,0.9,1.8,1.7,1.6,6.6,3.9

Liza macrolepis,0,0,0,0,0,0,0,0.1,0.1,0,0.1

Liza richardsonii,0.6,4.1,5.1,24.4,3.2,0,1.1,1.8,5.8,7,3.3

Liza tricuspidens,0,0,0.3,0,0,0,0.4,0.7,0.8,0.8,1

Monodactylus falciformis,1.2,0.4,24.3,9.6,13.2,7.3,0.8,0.6,2.2,4.1,2.7

Mugil cephalus,0.1,0.2,0.8,0,0.1,0.2,0.1,6.9,1.1,0.9,0.2

Myxus capensis,0.2,2.6,16.3,0.3,8.9,34.8,2.7,25.2,19.5,82.6,18.8

Oreochromis mossambicus,0,3.7,2.8,1.4,2.8,0.1,0.2,0.5,8.4,0,3.4

Pomadasys commersonnii,0,0,0.1,0.4,0.1,0,0.3,0.2,0.3,0.3,0.1

Pomadasys olivaceum,0,0,0,0,0,0,0,0,0,0,0.1

Pomatomus saltatrix,0,0,0,0,0,0,0,0,0,0.1,0

Rhabdosargus holubi,53.3,25.4,97,135.6,88.6,40.2,21.3,22.8,264.4,54.1,30.2

Rhabdosargus sarba,0,0,0,0,0,0,0,0,0,0,0.1

Terapon jarbua,0,0,0,0,0,0,0,0,0,0,0.1

Valamugil cunnesius,0,0,0,0,0.1,0,0,0,0,0.2,0.1

Valamugil robustus,0,0,0,0,0,0,0,0.1,0,1.2,0
