Species,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005

Argyrosomus japonicus,0,0,9,0,0,0,1,18,23,22

Caranx sexfasciatus,0,0,0,0,0,0,0,0,0,1

Elops machnata,0,0,0,1,0,0,0,0,0,0

Lichia amia,0,3,0,1,4,0,3,0,0,2

Lithognathus lithognathus,5,7,3,3,11,9,1,1,0,0

Liza dumerili,4,3,0,2,3,3,10,0,1,5

Liza macrolepis,0,0,0,0,0,0,1,0,1,1

Liza richardsonii,8,6,1,1,0,0,0,4,0,0

Liza tricuspidens,0,2,0,1,0,2,0,5,14,3

Monodactylus falciformis,57,18,64,41,35,11,7,6,7,4

Mugil cephalus,22,40,37,15,34,0,33,14,0,2

Myxus capensis,7,13,5,12,18,9,35,14,0,2

Oreochromis mossambicus,3,13,4,1,1,0,2,3,1,11

Pomadasys commersonnii,1,9,2,10,12,4,22,15,5,0

Rhabdosargus holubi,32,11,12,22,32,1,9,34,3,0

Rhabdosargus sarba,0,0,0,0,0,0,0,1,0,0

Valamugil cunnesius,0,0,0,12,1,1,1,0,0,0
