QC,Study ID,Reference,Collector,coral,plant,algae,fish,inverts,mobile inverts,sessile inverts,marine mammals,phytoplankton,zooplankton,mesh size,mesh size units,Descriptor of Taxa Sampled,Sys,Lat,Long,Loc,Event?,Event type,A priori?,Year of Event,Notes,Vis,Trwl,Line,Drdg,Trp,Source,Site,n1,n2,sub1,sub2,I1,I2,ind1_error,ind1_error_type,ind2_error,ind2_error_type,P1,P2,SiSz,SiSz (units),PltSz,PltSz (units),T1,T1m,T2,T2m,SppR1,SppR1 Error,SppR1 Error Type,SppR2,SppR2 Error,SppR2 Error Type,Shan1,Shan1 Error,Shan1 Error Type,Shan2,Shan2 Error,Shan2 Error Type,Simps1,Simps1 Error,Simps1 Error Type,Simps2,Simps2 Error,Simps2 Error Type,Even1,Even1 Error,Even1 Error Type,Even2,Even2 Error,Even2 Error Type
,440,James et al 2008,JD,0,0,0,1,0,0,0,0,0,0,15,mm,marine-spawning estuarine fish,estuary,NA,NA,"East Kleinemonde Estuary, South Africa",No,NA,No,NA,"Fish were split into large and small seines. Average of 9 samples per trip, 2 surveys per year.",0,1,0,0,0,Table 3,all - large seine,18,18,0,0,57.6,38.1,NA,NA,NA,NA,NA,NA,NA,NA,150,m^2,1995,,1996,,8,NA,NA,8,NA,NA,0.3865558,NA,NA,1.1648575,NA,NA,0.1424093,NA,NA,0.5287508,NA,NA,0.185894,NA,NA,0.560178,NA,NA
,440,James et al 2008,JD,0,0,0,1,0,0,0,0,0,0,15,mm,marine-spawning estuarine fish,estuary,NA,NA,"East Kleinemonde Estuary, South Africa",No,NA,No,NA,"Fish were split into large and small seines. Average of 9 samples per trip, 2 surveys per year.",0,1,0,0,0,Table 3,all - large seine,18,18,0,0,38.1,159,NA,NA,NA,NA,NA,NA,NA,NA,150,m^2,1996,,1997,,8,NA,NA,10,NA,NA,1.1648575,NA,NA,1.295754,NA,NA,0.5287508,NA,NA,0.5894063,NA,NA,0.560178,NA,NA,0.5627388,NA,NA
,440,James et al 2008,JD,0,0,0,1,0,0,0,0,0,0,15,mm,marine-spawning estuarine fish,estuary,NA,NA,"East Kleinemonde Estuary, South Africa",No,NA,No,NA,"Fish were split into large and small seines. Average of 9 samples per trip, 2 surveys per year.",0,1,0,0,0,Table 3,all - large seine,18,18,0,0,159,187.8,NA,NA,NA,NA,NA,NA,NA,NA,150,m^2,1997,,1998,,10,NA,NA,8,NA,NA,1.295754,NA,NA,0.9624229,NA,NA,0.5894063,NA,NA,0.4538573,NA,NA,0.5627388,NA,NA,0.4628276,NA,NA
,440,James et al 2008,JD,0,0,0,1,0,0,0,0,0,0,15,mm,marine-spawning estuarine fish,estuary,NA,NA,"East Kleinemonde Estuary, South Africa",No,NA,No,NA,"Fish were split into large and small seines. Average of 9 samples per trip, 2 surveys per year.",0,1,0,0,0,Table 3,all - large seine,18,18,0,0,187.8,119.5,NA,NA,NA,NA,NA,NA,NA,NA,150,m^2,1998,,1999,,8,NA,NA,10,NA,NA,0.9624229,NA,NA,0.9526656,NA,NA,0.4538573,NA,NA,0.4309784,NA,NA,0.4628276,NA,NA,0.4137374,NA,NA
,440,James et al 2008,JD,0,0,0,1,0,0,0,0,0,0,15,mm,marine-spawning estuarine fish,estuary,NA,NA,"East Kleinemonde Estuary, South Africa",No,NA,No,NA,"Fish were split into large and small seines. Average of 9 samples per trip, 2 surveys per year.",0,1,0,0,0,Table 3,all - large seine,18,18,0,0,119.5,84.5,NA,NA,NA,NA,NA,NA,NA,NA,150,m^2,1999,,2000,,10,NA,NA,7,NA,NA,0.9526656,NA,NA,1.0535012,NA,NA,0.4309784,NA,NA,0.5963405,NA,NA,0.4137374,NA,NA,0.5413925,NA,NA
,440,James et al 2008,JD,0,0,0,1,0,0,0,0,0,0,15,mm,marine-spawning estuarine fish,estuary,NA,NA,"East Kleinemonde Estuary, South Africa",No,NA,No,NA,"Fish were split into large and small seines. Average of 9 samples per trip, 2 surveys per year.",0,1,0,0,0,Table 3,all - large seine,18,18,0,0,84.5,29.1,NA,NA,NA,NA,NA,NA,NA,NA,150,m^2,2000,,2001,,7,NA,NA,10,NA,NA,1.0535012,NA,NA,1.0624835,NA,NA,0.5963405,NA,NA,0.4490736,NA,NA,0.5413925,NA,NA,0.4614307,NA,NA
,440,James et al 2008,JD,0,0,0,1,0,0,0,0,0,0,15,mm,marine-spawning estuarine fish,estuary,NA,NA,"East Kleinemonde Estuary, South Africa",No,NA,No,NA,"Fish were split into large and small seines. Average of 9 samples per trip, 2 surveys per year.",0,1,0,0,0,Table 3,all - large seine,18,18,0,0,29.1,60.9,NA,NA,NA,NA,NA,NA,NA,NA,150,m^2,2001,,2002,,10,NA,NA,12,NA,NA,1.0624835,NA,NA,1.3859515,NA,NA,0.4490736,NA,NA,0.6737849,NA,NA,0.4614307,NA,NA,0.5577479,NA,NA
,440,James et al 2008,JD,0,0,0,1,0,0,0,0,0,0,15,mm,marine-spawning estuarine fish,estuary,NA,NA,"East Kleinemonde Estuary, South Africa",No,NA,No,NA,"Fish were split into large and small seines. Average of 9 samples per trip, 2 surveys per year.",0,1,0,0,0,Table 3,all - large seine,18,18,0,0,60.9,306,NA,NA,NA,NA,NA,NA,NA,NA,150,m^2,2002,,2003,,12,NA,NA,11,NA,NA,1.3859515,NA,NA,0.6139232,NA,NA,0.6737849,NA,NA,0.2481054,NA,NA,0.5577479,NA,NA,0.2560258,NA,NA
,440,James et al 2008,JD,0,0,0,1,0,0,0,0,0,0,15,mm,marine-spawning estuarine fish,estuary,NA,NA,"East Kleinemonde Estuary, South Africa",No,NA,No,NA,"Fish were split into large and small seines. Average of 9 samples per trip, 2 surveys per year.",0,1,0,0,0,Table 3,all - large seine,18,18,0,0,306,160.2,NA,NA,NA,NA,NA,NA,NA,NA,150,m^2,2003,,2004,,11,NA,NA,14,NA,NA,0.6139232,NA,NA,1.2531267,NA,NA,0.2481054,NA,NA,0.6155555,NA,NA,0.2560258,NA,NA,0.4748388,NA,NA
,440,James et al 2008,JD,0,0,0,1,0,0,0,0,0,0,15,mm,marine-spawning estuarine fish,estuary,NA,NA,"East Kleinemonde Estuary, South Africa",No,NA,No,NA,"Fish were split into large and small seines. Average of 9 samples per trip, 2 surveys per year.",0,1,0,0,0,Table 3,all - large seine,18,18,0,0,160.2,67.7,NA,NA,NA,NA,NA,NA,NA,NA,150,m^2,2004,,2005,,14,NA,NA,18,NA,NA,1.2531267,NA,NA,1.6279975,NA,NA,0.6155555,NA,NA,0.7117245,NA,NA,0.4748388,NA,NA,0.5632485,NA,NA
