Species,1989,1998

Turbinidae,,

Turbo coronatus coronatus (Gmelin),2,9

Neritidae,,

Nerita squamulata Le Guilou,16,56

Neritina crepiduralia (Gmelin),1,21

Clithon faba (Sowerby),202,128

Clithon oualaniensis (Lesson),100,107

Clithon chlorostoma (Broderip),0,7

Clithon corona (Linnaeus),0,5

Clithon retropicta (v. Martens),0,1

Cerithidae,,

Clypeomorus subbrevicula (Oostingh),30,38

Cerithium cora/ium Kiener,31,58

Batillariidae,,

Batillaria flectosiphonata Ozawa,329,263

Cerithidea rhizophorarum A. Adams,98,152

Cerithidea cingulata (Gmelin),1,5

Thiaridae,,

Thiara riqueti (Grateloup),14,166

Littorinidae,,

Littoraria scabra (Linnaeus),1,2

Littoraria pallescens (Philippi),,

Littoraria intermedia (Philippi),0,4

Nassariidae,,

Pliarcularia bellura (A. Adams),0,11

Muricidae,,

Thais muricata (Blainville),0,1
