Species,1996,1997,1996,1997,1996,1997,1996

,SW-C,SW-C,SW-P,SW-P,TE-C,TE-C,LPL-P

Amblyopappus pusillus,83 (75),259 (142),662 (251),758 (373),,,

Atriplex watsonii,63 (23),29 (10),,,,1 (1),

Batis maritima,,1 (1),,,,,

Conyza canadensis,,,,,,,5 (3)

Cordylanthus maritimus  ssp. maritimus,17 (9),34 (25),,1 (1),97 (44),39 (33),

Cotula coronopifolia,,,,,,,104 (63)

Frankenia salina,33 (18),8 (4),2 (2),10 (10),4 (2),1 (1),

Hordeum murinum,21 (20),35 (34),,33 (16),,,

Hutchinsia procumbens,4 (3),142 (101),755 (165),593 (120),,,

Jaumea carnosa,,1 (1),,,,5 (3),

Juncus bufonius,79 (79),277 (276),689 (281),919 (422),,,

Lasthenia glabrata ssp. coulteri,1 (1),1 (1),570 (262),94 (48),,,24 (15)

Limonium californicum,81 (42),107 (49),,3 (1),2 (1),11 (3),

Lolium multiflorum,,,,,,,16 (7)

Lythrum hyssopifolium,,,,,,,361 (172)

Mesembryanthemum nodiflorum,9 (8),237 (106),1287 (374),856 (240),,,

Parapholis incurva,169 (103),267 (134),356 (85),228 (89),1241 (420),239 (120),665 (404)

Polypogon monspeliensis,,,,,,,316 (192)

Rumex crispus,,,,,,,29 (9)

Salicornia bigelovii,,,,4 (4),,,

Salicornia europaea,,,,,,,11 (10)

Salicornia subterminalis,14 (14),13 (6),21 (15),6 (3),5 (3),15 (9),200 (100)

Salicornia virginica,13 (5),30 (14),,,7 (4),1 (1),33 (15)

Sonchus oleraceus,40 (13),62 (26),37 (14),6 (3),,,1 (1)

Spergularia marina,16 (16),1 (1),41 (19),6 (3),1 (1),,105 (94)

Suaeda esteroa,12 (6),17 (8),,,,107 (107),

Trifolium campestre,,,1 (1),1 (1),,,
