Species,1999,2000,2001,2002,2005,2006

Acartia clausi,6254,"17,973","12,579","12,524","27,987","16,629"

Calanus euxinus,5253,9214,"11,697","11,409",9459,6771

Centropages ponticus,759,45,223,30,0,48

Oithona similis,28,2857,"25,792",9772,7252,7219

Paracalanus parvus,756,4981,"11,695","10,137","12,094",3097

Pseudocalanus elongatus,8068,"16,595","11,695","10,137","24,806",6243

Harpacticoid copepod,15,2760,871,321,153,414

Cirriped nauplii,935,23,3707,35,0,545

Penilia avirostris,"16,054","67,770","33,411",1072,925,1354

Pseudoevadne tergestina,5589,269,1963,100,75,5820

Oikopleura dioica,1462,8284,"22,455",9817,"13,038","42,143"

Sagitta setosa,"44,353","33,355","50,048",2590,1825,9321

Medusae planula,0,"27,597",2972,8350,0,5167
