site,replicates,year,abundance,richness,shannon,simpson,pielou,
salt pond,17,1990,1989,17,1.7546802,0.7680159,0.6193251,
salt pond,24,1991,3732,12,1.3924682,0.6329875,0.5603704,
salt pond,31,1992,4123,13,1.543013,0.706622,0.6015764,
salt pond,19,1993,1552,13,1.8155972,0.7950471,0.7078491,
salt pond,15,1994,7814,12,1.4378228,0.6854574,0.5786225,
beach - low tide,21,1990,337,12,1.7584248,0.747902,0.7076422,
beach - low tide,24,1991,1596,11,0.4943355,0.1828355,0.2061539,
beach - low tide,24,1992,521,12,0.8100635,0.3234409,0.3259935,
beach - low tide,23,1993,1137,9,1.0878496,0.5676501,0.4951017,
beach - low tide,19,1994,564,11,1.8266905,0.8012371,0.7617891,
beach - mid flood,14,1990,451,11,0.9476278,0.393294,0.3951915,
beach - mid flood,24,1991,822,11,1.2162372,0.61638,0.5072103,
beach - mid flood,23,1992,684,10,0.9767699,0.4394467,0.4242058,
beach - mid flood,23,1993,860,11,0.9004918,0.423336,0.3755342,
beach - mid flood,19,1994,911,7,1.0999747,0.590928,0.5652752,
