,salt pond,salt pond,salt pond,salt pond,salt pond,beach low tide,beach low tide,beach low tide,beach low tide,beach low tide,beach mid flood,beach mid flood,beach mid flood,beach mid flood,beach mid flood

species,1990,1991,1992,1993,1994,1990,1991,1992,1993,1994,1990,1991,1992,1993,1994

Alosa aestivalis,0.3,0,0.1,0,0,2.9,0.3,0,0,0,4.9,1,0.7,0,0

Alosa pseudoharengus,16.6,1.3,0.9,0.3,0.5,0,1.8,1.3,2.9,9.2,7.1,0.6,0.7,0.4,57.6

Clupea harengus,8.9,0.2,0.4,24.2,8.6,24.4,3.3,1.2,7.6,22.8,5.1,1.7,4.5,7.8,20.9

Osmerus mordax,7.1,0.3,8.1,4.1,0.2,3.8,0.1,3.7,0.4,8.3,0.2,0.1,1.8,0,0

Gadus morhua,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0

Microgadus tomcod,19.3,55.5,47.2,9.3,46.2,4.4,0.4,3.3,0,5.6,0,0,0.3,0.7,0

Pollachius virens,0.7,0.7,1.2,0.5,0.1,0,0.1,0,0,0.2,0,0,0,0.1,0

Urophycis chuss,0,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0,0

Urophycis tenuis,0.1,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0

Fundulus majalis,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0

Fundulus heteroclitus,38.2,22.1,17.6,16,7.9,0,0,0.2,0.1,0,0,0.2,0,0.1,0

Menidia menidia,2.4,2,17.3,32,29.4,41.5,1.5,6.3,58.8,16.4,77.2,50.6,73.3,74.4,18.2

Apeltes quadracus,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.2,0

Gasterosteus aculeatus,0.4,4,0.6,2.7,0.5,7.4,1.5,0.6,1.2,2.3,0.9,2.8,1.5,3.3,0.9

Gasterosteus wheatlandi,0,0,0,0,0,1.8,0.1,0.4,0.1,0,1.3,0.9,0.2,0,0.1

Pungitius pungitius,0.2,8.8,1.2,3.2,3.8,2.4,0.6,0.2,0,0.7,1.8,7.2,2.6,0.2,0

Syngnathus fuscus,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0

Morone americana,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Morone saxatilis,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.2,0.3

Pomatomus saltatrix,0.1,0,0,0,0.1,7.4,0,0,0,0,0.4,0.1,0,0,0

Decapturus macarellus,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Ammodytes americanus,0,0,0,0,0,2.7,90.2,82,28.4,31.4,0.9,34.8,14.5,12.6,2

Hemitripterus americanus,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0

Myoxocephalus scorpius,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Myoxocephalus octodecimspinosus,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Cyclopterus lumpus,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0

Pleuronectes americanus,3.4,3.8,5.2,7.1,2.8,0,0,0.8,0.6,2.5,0,0,0,0,0

total counts,1989,3732,4123,1552,7814,337,1596,521,1137,564,451,822,684,860,911
