,,natural marsh,natural marsh,natural marsh,natural marsh,natural marsh,natural marsh,natural marsh,natural marsh,constructed marsh,constructed marsh,constructed marsh,constructed marsh,constructed marsh,constructed marsh,constructed marsh,constructed marsh

Species,Common Name,1989,1990,1991,1992,1993,1994,1995,1996,1989,1990,1991,1992,1993,1994,1995,1996

California killifish,Fundulus parvipinnis,0.42,0.01,0.18,0.33,0.39,0.31,0.07,0.47,0 .29,0 .88,0 .24,0 .60,3.71,2 .57,1 .40,0 .99

Topsmelt,Atheffnops affinis,0.9,1.25,1.34,,,0.85,0.18,0.21,2 .22,1.3,3 .00,0 .56,0 .56,0 .22,0 .28,0.12

Longjaw mudsucker,Gillichthysm irabilis,1.8,1.03,0.87,0.6,0.4,0.8,0.92,0.48,0 .50,0 .56,0 .73,0.11,0 .65,0 .32,1.76,0 .42

Arrow goby,Clevelandia ios,0.93,0.11,0.5,,0.35,0.5,0.06,0.25,0 .22,1.55,2 .78,,0 .05,0 .44,0.11,0 .15

Bay pipefish,Syngnathus leptorhynchus,0.03,< 0.01,0.02,,0.17,0.03,0.04,0.03,0 . 1 6,0.11,0 .10,0 .03,0 .06,< 0.01,0 .06,0 .09

Yellowfin goby,Acanthogobius flavimanus*,,0.01,0.08,,0.05,0.2,0.02,0.02,0 .08,0 .15,0 .14,0.01,0 .03,0 .02,0 .10,< 0.01

Cheekspot goby,llypnus gilberti,0.13,,0.09,,0.02,,,< 0.01,,,0 .55,,,,,< 0.01

Shadow goby,Quietula y-cauda,0.09,,,,,,0.04,0.05,< 0.01,,0 .16,,,,0 .07,0 .07

Bay goby,Lepidogobius lepidus,0,,0.02,,0.01,,,,< 0.01,,0 .27,,,,,

Striped mullet,Mugil cephalus,,,,,,,,,0 .04,,,,< 0.01,0 .01,< 0.01,

Diamond turbot,Hypsopsettgau ttulata,< 0.01,0,,,0.02,,,< 0.01,< 0.01,,< 0.01,,,,,< 0.01

Sailfin molly,Poecilia latipinna*,,,,,,,< 0.01,0.01,,,,,< 0.01,0.01,,0.01

California halibut,Paralichthycsa lifornicus,< 0.01,,0.01,,,,< 0.01,< 0.01,,,< 0.01,,,,,

Northern  anchovy,Engraulis mordax,,,,,,,,,,,,0.O9,,,,

Deepbody anchovy,Anchoa compressa,< 0.01,,,,,,,,,,< 0.01,,< 0.01,< 0 .01,,

Round stingray,Urolophus hallen,,,,,,,,,,,,,0.01,,,< 0.01

Staghorn sculpin,Leptocottus armatus,< 0.01,,,,,,,,,,,,,< 0.01,,
