Common Name,Scientific name,site,2004,2005,2006,2007,2008
Atlantic spadefish,Chaetodipterus faber,B,NA,2,1,NA,3
Balloonfish,Diodon holocanthus,B,NA,3,6,2,6
Banded blenny,Paraclinus fasciatus,B,1,NA,NA,NA,NA
Bandtail puffer,Sphoeroides spengleri,B,NA,NA,NA,NA,2
Bar jack,Carangoides ruber,B,293,8,15,65,9
Beaugregory,Stegastes leucostictus,B,14,19,44,12,90
Bermuda chub,Kyphosus sectatrix,B,NA,10,3,4,3
Bicolor damselfish,Stegastes partitus,B,NA,NA,2,5,2
Black margate,Anisotremus surinamensis,B,4,7,3,4,2
Blackear wrasse,Halichoeres poeyi,B,1,NA,NA,28,NA
Blue angelfish,Holacanthus bermudensis,B,NA,1,NA,2,3
Blue chromis,Chromis cyanea,B,1,NA,NA,NA,NA
Blue goby,Ptereleotris calliura,B,NA,1,NA,NA,NA
Blue runner,Caranx crysos,B,30,NA,NA,NA,NA
Blue tang,Acanthurus coeruleus,B,10,17,17,37,40
Bluehead,Thalassoma bifasciatum,B,92,52,80,212,228
Bluestriped grunt,Haemulon sciurus,B,14,8,9,9,13
Bridled goby,Coryphopterus glaucofraenum,B,22,2,23,12,64
Bucktooth parrotfish,Sparisoma radians,B,38,3,8,16,26
Butter hamlet,Hypoplectrus unicolor,B,NA,NA,1,NA,NA
Caesar grunt,Haemulon carbonarium,B,1,NA,NA,NA,NA
Cero,Scomberomorus regalis,B,1,NA,NA,NA,NA
Clown wrasse,Halichoeres maculipinna,B,2,3,4,34,32
Cocoa damselfish,Stegastes variabilis,B,55,28,56,34,99
Colon goby,Coryphopterus dicrus,B,NA,NA,NA,NA,NA
Common Name,Scientific name,B,NA,NA,NA,NA,NA
Crevalle jack,Caranx hippos,B,NA,1,NA,NA,NA
Damselfish species,Stegastes sp.,B,NA,NA,NA,NA,NA
Dash goby,Ctenogobius saepepallens,B,NA,NA,NA,NA,NA
Doctorfish,Acanthurus chirurgus,B,25,51,15,59,46
Dusky damselfish,Stegastes adustus,B,21,20,20,27,65
Dusky jawfish,Opistognathus whitehursti,B,NA,NA,3,NA,NA
Flamefish,Apogon maculatus,B,NA,NA,NA,NA,NA
French angelfish,Pomacanthus paru,B,4,7,NA,4,6
French grunt,Haemulon flavolineatum,B,71,61,158,181,197
Goldspot goby,Gnatholepis thompsoni,B,NA,NA,NA,NA,NA
Gray angelfish,Pomacanthus arcuatus,B,8,8,7,6,8
Gray snapper,Lutjanus griseus,B,18,28,9,8,4
Gray triggerfish,Balistes capriscus,B,21,19,15,7,15
Graysby,Cephalopholis cruentata,B,NA,NA,NA,1,NA
Great barracuda,Sphyraena barracuda,B,NA,NA,NA,2,NA
Greater amberjack,Seriola dumerili,B,3,3,NA,NA,NA
Greater soapfish,Rypticus saponaceus,B,NA,NA,NA,1,1
Green moray,Gymnothorax funebris,B,NA,NA,NA,1,NA
Green razorfish,Xyrichtys splendens,B,NA,NA,NA,NA,NA
Harlequin bass,Serranus tigrinus,B,NA,NA,NA,NA,NA
Highhat,Pareques acuminatus,B,5,1,1,7,5
Hogfish,Lachnolaimus maximus,B,NA,1,4,3,NA
Hovering goby,Ptereleotris helenae,B,NA,NA,NA,NA,NA
Inshore lizardfish,Synodus foetens,B,NA,NA,NA,NA,NA
Juvenile grunts,Haemulon spp.,B,119,659,317,2097,386
Lancer dragonet,Callionymus bairdi,B,NA,NA,NA,NA,NA
Lane snapper,Lutjanus synagris,B,37,39,41,22,1
Lantern bass,Serranus baldwini,B,NA,NA,NA,NA,NA
Lizardfish species,Synodus sp.,B,NA,NA,NA,1,NA
Longfin damselfish,Stegastes diencaeus,B,NA,NA,NA,NA,NA
Mahogany snapper,Lutjanus mahogoni,B,NA,NA,1,NA,NA
Masked goby,Coryphopterus personatus,B,NA,NA,1,6,51
Midnight parrotfish,Scarus coelestinus,B,NA,NA,1,NA,NA
Mottled mojarra,Eucinostomus lefroyi,B,NA,NA,NA,NA,NA
Mutton snapper,Lutjanus analis,B,NA,NA,NA,NA,NA
