Common Name,Scientific name,site,2004,2005,2006,2007,2008
Atlantic spadefish,Chaetodipterus faber,N,NA,NA,NA,NA,NA
Balloonfish,Diodon holocanthus,N,1,3,1,NA,4
Banded blenny,Paraclinus fasciatus,N,NA,NA,NA,NA,NA
Bandtail puffer,Sphoeroides spengleri,N,NA,2,1,1,1
Bar jack,Carangoides ruber,N,NA,NA,NA,2,NA
Beaugregory,Stegastes leucostictus,N,40,11,30,28,21
Bermuda chub,Kyphosus sectatrix,N,5,NA,NA,2,NA
Bicolor damselfish,Stegastes partitus,N,1,1,NA,10,6
Black margate,Anisotremus surinamensis,N,NA,NA,NA,NA,NA
Blackear wrasse,Halichoeres poeyi,N,NA,1,1,28,7
Blue angelfish,Holacanthus bermudensis,N,NA,1,NA,NA,NA
Blue chromis,Chromis cyanea,N,NA,NA,NA,NA,NA
Blue goby,Ptereleotris calliura,N,5,1,NA,1,7
Blue runner,Caranx crysos,N,59,NA,NA,26,NA
Blue tang,Acanthurus coeruleus,N,1,NA,NA,4,NA
Bluehead,Thalassoma bifasciatum,N,8,7,7,43,7
Bluestriped grunt,Haemulon sciurus,N,8,6,1,4,5
Bridled goby,Coryphopterus glaucofraenum,N,51,9,22,46,13
Bucktooth parrotfish,Sparisoma radians,N,58,24,11,54,38
Butter hamlet,Hypoplectrus unicolor,N,NA,NA,NA,NA,NA
Caesar grunt,Haemulon carbonarium,N,NA,NA,NA,NA,NA
Cero,Scomberomorus regalis,N,NA,NA,NA,NA,NA
Clown wrasse,Halichoeres maculipinna,N,1,1,11,23,7
Cocoa damselfish,Stegastes variabilis,N,71,26,31,31,39
Colon goby,Coryphopterus dicrus,N,2,NA,NA,NA,NA
Common Name,Scientific name,N,2004,2005,2006,2007,2008
Crevalle jack,Caranx hippos,N,NA,NA,NA,NA,NA
Damselfish species,Stegastes sp.,N,NA,1,NA,NA,NA
Dash goby,Ctenogobius saepepallens,N,2,2,NA,NA,NA
Doctorfish,Acanthurus chirurgus,N,10,14,2,31,6
Dusky damselfish,Stegastes adustus,N,6,4,7,22,15
Dusky jawfish,Opistognathus whitehursti,N,NA,1,27,2,4
Flamefish,Apogon maculatus,N,1,NA,NA,NA,NA
French angelfish,Pomacanthus paru,N,3,2,NA,4,2
French grunt,Haemulon flavolineatum,N,36,6,5,32,4
Goldspot goby,Gnatholepis thompsoni,N,NA,NA,NA,2,NA
Gray angelfish,Pomacanthus arcuatus,N,NA,NA,1,NA,NA
Gray snapper,Lutjanus griseus,N,3,1,NA,3,1
Gray triggerfish,Balistes capriscus,N,6,10,6,3,6
Graysby,Cephalopholis cruentata,N,NA,NA,NA,NA,NA
Great barracuda,Sphyraena barracuda,N,NA,NA,NA,NA,NA
Greater amberjack,Seriola dumerili,N,NA,NA,NA,NA,NA
Greater soapfish,Rypticus saponaceus,N,NA,NA,NA,NA,NA
Green moray,Gymnothorax funebris,N,NA,NA,1,NA,NA
Green razorfish,Xyrichtys splendens,N,6,1,3,NA,NA
Harlequin bass,Serranus tigrinus,N,NA,NA,NA,1,NA
Highhat,Pareques acuminatus,N,5,11,4,14,13
Hogfish,Lachnolaimus maximus,N,NA,NA,NA,NA,NA
Hovering goby,Ptereleotris helenae,N,NA,NA,NA,NA,2
Inshore lizardfish,Synodus foetens,N,NA,NA,NA,1,NA
Juvenile grunts,Haemulon spp.,N,201,364,147,1314,437
Lancer dragonet,Callionymus bairdi,N,NA,NA,2,NA,NA
Lane snapper,Lutjanus synagris,N,150,127,71,65,16
Lantern bass,Serranus baldwini,N,NA,NA,NA,1,1
