Common Name,Scientiﬁc name,2004,,,,2005,,,,2006,,,,2007,,,,2008,,
,,N,,B,,N,,B,,N,,B,,N,,B,,N,,B
,,T/O,,T/O,,T/O,,T/O,,T/O,,T/O,,T/O,,T/O,,T/O,,T/O
Nurse shark,Ginglymostoma cirratum,,,,,,,,,1/1,,,,,,,,,,
Southern stingray,Dasyatis americana,,,,,,,2/1,,,,,,,,,,,,
Yellow stingray,Urobatis jamaicensis,2/2,,,,1/1,,1/1,,1/1,,,,2/2,,,,2/2,,
Tarpon,Megalops atlanticus,,,,,4/1,,2/1,,,,,,,,,,,,
Green moray Inshore lizardﬁsh Lizardﬁsh species,Gymnothorax funebris Synodus foetens Synodus sp.,,,,,,,,,1/1,,,,1/1,,"1/1

1/1",,,,
Sand diver,Synodus intermedius,,,,,,,,,,,,,,,,,,,2/2
Squirrelﬁsh,Holocentrus adscensionis,,,,,,,1/1,,,,,,,,,,,,1/1
Spotted scorpionﬁsh,Scorpaena plumieri,2/2,,,,2/2,,1/1,,,,,,1/1,,,,,,1/1
Graysby,Cephalopholis cruentata,,,,,,,,,,,,,,,1/1,,,,
Sand perch,Diplectrum formosum,61/22,,11/7,,33/11,,,,6/5,,2/1,,10/4,,,,2/1,,
Red  grouper,Epinephelus morio,,,,,,,1/1,,,,1/1,,1/1,,,,,,
Butter hamlet,Hypoplectrus unicolor,,,,,,,,,,,1/1,,,,,,,,
Scamp,Mycteroperca phenax,,,,,,,1/1,,,,,,,,2/1,,,,5/5
Greater soapﬁsh,Rypticus saponaceus,,,,,,,,,,,,,,,1/1,,,,1/1
Lantern bass,Serranus baldwini,,,,,,,,,,,,,1/1,,,,1/1,,
Harlequin bass,Serranus tigrinus,,,,,,,,,,,,,1/1,,,,,,
"Dusky jawﬁsh
Flameﬁsh
Twospot cardinalﬁsh","Opistognathus whitehursti
Apogon maculatus
Apogon pseudomaculatus",1/1,,1/1,,1/1,,,,27/10,,3/2,,"2/2

1/1",,,,4/4,,
Yellow jack,Carangoides bartholomaei,1/1,,6/2,,,,3/2,,,,,,,,3/1,,,,1/1
