"","year","Genus","species","site","T = abundance"
"1","2004","Chaetodipterus","faber","B",NA
"2","2004","Diodon","holocanthus","B",NA
"3","2004","Paraclinus","fasciatus","B","1"
"4","2004","Sphoeroides","spengleri","B",NA
"5","2004","Carangoides","ruber","B","293"
"6","2004","Stegastes","leucostictus","B","14"
"7","2004","Kyphosus","sectatrix","B",NA
"8","2004","Stegastes","partitus","B",NA
"9","2004","Anisotremus","surinamensis","B","4"
"10","2004","Halichoeres","poeyi","B","1"
"11","2004","Holacanthus","bermudensis","B",NA
"12","2004","Chromis","cyanea","B","1"
"13","2004","Ptereleotris","calliura","B",NA
"14","2004","Caranx","crysos","B","30"
"15","2004","Acanthurus","coeruleus","B","10"
"16","2004","Thalassoma","bifasciatum","B","92"
"17","2004","Haemulon","sciurus","B","14"
"18","2004","Coryphopterus","glaucofraenum","B","22"
"19","2004","Sparisoma","radians","B","38"
"20","2004","Hypoplectrus","unicolor","B",NA
"21","2004","Haemulon","carbonarium","B","1"
"22","2004","Scomberomorus","regalis","B","1"
"23","2004","Halichoeres","maculipinna","B","2"
"24","2004","Stegastes","variabilis","B","55"
"25","2004","Coryphopterus","dicrus","B",NA
"26","2004","Caranx","hippos","B",NA
"27","2004","Stegastes","sp.","B",NA
"28","2004","Ctenogobius","saepepallens","B",NA
"29","2004","Acanthurus","chirurgus","B","25"
"30","2004","Stegastes","adustus","B","21"
"31","2004","Opistognathus","whitehursti","B",NA
"32","2004","Apogon","maculatus","B",NA
"33","2004","Pomacanthus","paru","B","4"
"34","2004","Haemulon","<U+FB02>avolineatum","B","71"
"35","2004","Gnatholepis","thompsoni","B",NA
"36","2004","Pomacanthus","arcuatus","B","8"
"37","2004","Lutjanus","griseus","B","18"
"38","2004","Balistes","capriscus","B","21"
"39","2004","Cephalopholis","cruentata","B",NA
"40","2004","Sphyraena","barracuda","B",NA
"41","2004","Seriola","dumerili","B","3"
"42","2004","Rypticus","saponaceus","B",NA
"43","2004","Gymnothorax","funebris","B",NA
"44","2004","Xyrichtys","splendens","B",NA
"45","2004","Serranus","tigrinus","B",NA
"46","2004","Pareques","acuminatus","B","5"
"47","2004","Lachnolaimus","maximus","B",NA
"48","2004","Ptereleotris","helenae","B",NA
"49","2004","Synodus","foetens","B",NA
"50","2004","Haemulon","spp.","B","119"
"51","2004","Callionymus","bairdi","B",NA
"52","2004","Lutjanus","synagris","B","37"
"53","2004","Serranus","baldwini","B",NA
"54","2004","Synodus","spp.","B",NA
"55","2004","Stegastes","diencaeus","B",NA
"56","2004","Lutjanus","mahogoni","B",NA
"57","2004","Coryphopterus","personatus","B",NA
"58","2004","Scarus","coelestinus","B",NA
"59","2004","Eucinostomus","lefroyi","B",NA
"60","2004","Lutjanus","analis","B",NA
"61","2004","Elacatinus","oceanops","B",NA
"62","2004","Ginglymostoma","cirratum","B",NA
"63","2004","Acanthurus","bahianus","B","81"
"64","2004","Scaridae","spp.","B",NA
"65","2004","Bothus","lunatus","B",NA
"66","2004","Lagodon","rhomboides","B",NA
"67","2004","Stephanolepis","hispidus","B",NA
"68","2004","Diodon","hystrix","B",NA
"69","2004","Calamus","spp.","B",NA
"70","2004","Anisotremus","virginicus","B","49"
"71","2004","Scarus","taeniopterus","B",NA
"72","2004","Halichoeres","radiatus","B",NA
"73","2004","Holacanthus","ciliaris","B","1"
"74","2004","Scarus","guacamaia","B",NA
"75","2004","Xyrichtys","spp.","B",NA
"76","2004","Epinephelus","morio","B",NA
"77","2004","Sparisoma","rubripinne","B","5"
"78","2004","Sparisoma","aurofrenatum","B","5"
"79","2004","Chaetodon","sedentarius","B","1"
"80","2004","Odontoscion","dentex","B","10"
"81","2004","Holacanthus","tricolor","B",NA
"82","2004","Malacoctenus","macropus","B","14"
"83","2004","Xyrichtys","martinicensis","B",NA
"84","2004","Acanthemblemaria","aspera","B","6"
"85","2004","Enneanectes","boehlkei","B",NA
"86","2004","Malacoctenus","triangulatus","B",NA
"87","2004","Emblemaria","pandionis","B",NA
"88","2004","Haemulon","parra","B","6"
"89","2004","Synodus","intermedius","B",NA
"90","2004","Diplectrum","formosum","B","11"
"91","2004","Calamus","calamus","B",NA
"92","2004","Mycteroperca","phenax","B",NA
"93","2004","Lutjanus","apodus","B",NA
"94","2004","Acanthostracion","quadricornis","B",NA
"95","2004","Archosargus","rhomboidalis","B","31"
"96","2004","Parablennius","marmoreus","B","14"
"97","2004","Microgobius","carri","B",NA
"98","2004","Abudefduf","saxatilis","B","50"
"99","2004","Canthigaster","rostrata","B",NA
"100","2004","Diplodus","argenteus","B","1"
"101","2004","Monacanthus","tuckeri","B",NA
"102","2004","Eucinostomus","jonesii","B","5"
"103","2004","Halichoeres","bivittatus","B","170"
"104","2004","Haemulon","chrysargyreum","B",NA
"105","2004","Rhinesomus","triqueter","B","1"
"106","2004","Dasyatis","americana","B",NA
"107","2004","Haemulon","macrostomum","B","1"
"108","2004","Bodianus","rufus","B","1"
"109","2004","Scomberomorus","maculatus","B",NA
