,year,Genus,species,site,T = abundance
1,2004,Chaetodipterus,faber,N,0
2,2004,Diodon,holocanthus,N,1
3,2004,Paraclinus,fasciatus,N,0
4,2004,Sphoeroides,spengleri,N,0
5,2004,Carangoides,ruber,N,0
6,2004,Stegastes,leucostictus,N,40
7,2004,Kyphosus,sectatrix,N,5
8,2004,Stegastes,partitus,N,1
9,2004,Anisotremus,surinamensis,N,0
10,2004,Halichoeres,poeyi,N,0
11,2004,Holacanthus,bermudensis,N,0
12,2004,Chromis,cyanea,N,0
13,2004,Ptereleotris,calliura,N,5
14,2004,Caranx,crysos,N,59
15,2004,Acanthurus,coeruleus,N,1
16,2004,Thalassoma,bifasciatum,N,8
17,2004,Haemulon,sciurus,N,8
18,2004,Coryphopterus,glaucofraenum,N,51
19,2004,Sparisoma,radians,N,58
20,2004,Hypoplectrus,unicolor,N,0
21,2004,Haemulon,carbonarium,N,0
22,2004,Scomberomorus,regalis,N,0
23,2004,Halichoeres,maculipinna,N,1
24,2004,Stegastes,variabilis,N,71
25,2004,Coryphopterus,dicrus,N,2
26,2004,Caranx,hippos,N,0
27,2004,Stegastes,sp.,N,0
28,2004,Ctenogobius,saepepallens,N,2
29,2004,Acanthurus,chirurgus,N,10
30,2004,Stegastes,adustus,N,6
31,2004,Opistognathus,whitehursti,N,0
32,2004,Apogon,maculatus,N,1
33,2004,Pomacanthus,paru,N,3
34,2004,Haemulon,<U+FB02>avolineatum,N,36
35,2004,Gnatholepis,thompsoni,N,0
36,2004,Pomacanthus,arcuatus,N,0
37,2004,Lutjanus,griseus,N,3
38,2004,Balistes,capriscus,N,6
39,2004,Cephalopholis,cruentata,N,0
40,2004,Sphyraena,barracuda,N,0
41,2004,Seriola,dumerili,N,0
42,2004,Rypticus,saponaceus,N,0
43,2004,Gymnothorax,funebris,N,0
44,2004,Xyrichtys,splendens,N,6
45,2004,Serranus,tigrinus,N,0
46,2004,Pareques,acuminatus,N,5
47,2004,Lachnolaimus,maximus,N,0
48,2004,Ptereleotris,helenae,N,0
49,2004,Synodus,foetens,N,0
50,2004,Haemulon,spp.,N,201
51,2004,Callionymus,bairdi,N,0
52,2004,Lutjanus,synagris,N,150
53,2004,Serranus,baldwini,N,0
54,2004,Synodus,spp.,N,0
55,2004,Stegastes,diencaeus,N,0
56,2004,Lutjanus,mahogoni,N,0
57,2004,Coryphopterus,personatus,N,0
58,2004,Scarus,coelestinus,N,0
59,2004,Eucinostomus,lefroyi,N,1
60,2004,Lutjanus,analis,N,0
61,2004,Elacatinus,oceanops,N,0
62,2004,Ginglymostoma,cirratum,N,0
63,2004,Acanthurus,bahianus,N,4
64,2004,Scaridae,spp.,N,0
65,2004,Bothus,lunatus,N,0
66,2004,Lagodon,rhomboides,N,0
67,2004,Stephanolepis,hispidus,N,1
68,2004,Diodon,hystrix,N,0
