site,year,start_lon,start_lat,end_lon,end_lat
washington/oregon,2001,-124.2772421,47.228923,-126.6685797,47.68579435
washington/oregon,2001,-123.9902816,45.66794591,-129.1077441,46.61976121
washington/oregon,2001,-124.1815886,44.18311404,-130.8295072,45.47758285
washington/oregon,2001,-124.7076829,42.77442739,-130.6382002,43.95467836
washington/oregon,2001,-128.2468626,42.05104776,-130.9729875,42.58406433
washington/oregon,2001,-126.5250995,42.08912037,-124.5642026,47.57157651
washington/oregon,2001,-128.2946893,42.05104776,-126.0946587,47.91423002
washington/oregon,2001,-129.6816651,42.05104776,-128.0077288,47.07663255
washington/oregon,2001,-130.9729875,43.49780702,-129.9686257,46.2771077
california,2001,-124.3250689,41.17537768,-128.2468626,42.01297515
california,2001,-124.0859351,39.57632797,-131.0208142,41.13730507
california,2001,-122.8424395,37.90113304,-130.6382002,39.57632797
california,2001,-121.981558,36.26401072,-129.5381849,37.82498782
california,2001,-120.7858892,34.55074318,-128.3903428,36.07364766
california,2001,-118.2510713,32.30445906,-127.4338078,34.3223075
california,2001,-119.6858739,31.1622807,-126.2859657,32.68518519
california,2001,-123.0337466,30.36275585,-124.1337619,30.62926413
california,2001,-120.3076217,31.00999025,-119.2554331,34.05579922
california,2001,-118.2988981,31.96180556,-117.9162841,33.44663743
california,2001,-122.0293848,30.55311891,-120.8815427,34.43652534
california,2001,-123.8468013,30.36275585,-121.981558,36.26401072
california,2001,-125.0424702,31.4668616,-123.8946281,35.08375975
california,2001,-126.4772727,32.76133041,-123.8946281,39.88090887
california,2001,-127.385981,34.55074318,-124.9468167,42.05104776
california,2001,-128.5338231,36.26401072,-126.5250995,41.97490253
california,2001,-129.6816651,38.01535088,-128.3425161,41.97490253
california,2001,-130.7338537,39.69054581,-129.8729721,41.89875731
california,1991/1993,-124.2105263,41.50895141,-127.5598086,42.04603581
california,1991/1993,-123.923445,39.36061381,-131.0047847,40.35805627
california,1991/1993,-123.062201,38.32480818,-130.5263158,39.20716113
california,1991/1993,-121.7703349,36.17647059,-127.9425837,37.13554987
california,1991/1993,-122.5837321,37.3657289,-129.7607656,38.09462916
california,1991/1993,-120.7655502,35.02557545,-126.5550239,36.06138107
california,1991/1993,-119.4258373,34.02813299,-127.84689,35.14066496
california,1991/1993,-117.9425837,32.72378517,-127.2727273,34.06649616
california,1991/1993,-118.3253589,31.91815857,-126.4593301,32.83887468
california,1991/1993,-120.9569378,30.84398977,-125.645933,31.64961637
california,1991/1993,-128.7559809,41.89258312,-130.1913876,38.67007673
california,1991/1993,-125.7416268,41.93094629,-128.5645933,36.2915601
california,1991/1993,-123.8755981,39.39897698,-126.8899522,33.49104859
california,1991/1993,-122.15311,36.98209719,-125.0717703,31.11253197
california,1991/1993,-120.430622,34.48849105,-122.2488038,30.49872123
california,1991/1993,-117.9425837,33.52941176,-118.708134,31.41943734
california,1991/1993,-124.4976077,41.96930946,-131.0526316,39.7826087
california,1991/1993,-125.4066986,41.62404092,-129.8086124,39.5140665
california,1991/1993,-124.4019139,40.70332481,-129.7129187,38.1713555
california,1991/1993,-123.8755981,39.43734015,-129.3779904,37.59590793
california,1991/1993,-123.8277512,39.43734015,-129.1866029,37.17391304
california,1991/1993,-123.0143541,38.24808184,-128.5645933,36.13810742
california,1991/1993,-122.5837321,37.25063939,-128.1339713,35.37084399
california,1991/1993,-121.9138756,36.2915601,-127.3205742,34.18158568
california,1991/1993,-120.8133971,35.10230179,-126.6985646,32.99232737
california,1991/1993,-122.4880383,35.40920716,-122.5358852,31.11253197
california,1996,-121.3809524,30.42307692,-124.7142857,30.84615385
california,1996,-119.0952381,31.11538462,-125.4285714,31.96153846
california,1996,-118.0952381,32.03846154,-126.6666667,33.19230769
california,1996,-117.3809524,32.96153846,-127.3333333,34.34615385
california,1996,-120.1904762,34.34615385,-127.952381,35.34615385
california,1996,-121.1428571,35.46153846,-128.6666667,36.46153846
california,1996,-121.9047619,36.65384615,-129.4761905,37.61538462
california,1996,-122.6190476,37.76923077,-130.1428571,38.73076923
california,1996,-124.1428571,38.88461538,-130.8095238,39.76923077
california,1996,-124.6666667,40,-131.047619,40.84615385
california,1996,-124.6190476,41,-130.952381,41.84615385
california,1996,-123.5238095,30.03846154,-117.2857143,32.88461538
california,1996,-124.8571429,30.92307692,-118.2857143,33.80769231
california,1996,-125.7619048,31.80769231,-120.2380952,34.42307692
california,1996,-126.5714286,33.03846154,-121.1428571,35.46153846
california,1996,-127.2857143,34.30769231,-121.8571429,36.65384615
california,1996,-128,35.38461538,-122.6190476,37.80769231
california,1996,-128.5714286,36.5,-123.6666667,38.76923077
california,1996,-129.4761905,37.65384615,-124.3809524,39.88461538
california,1996,-130.1428571,38.76923077,-124.6190476,41
california,1996,-130.8095238,39.76923077,-125.6666667,41.92307692
california,1996,-131,41.23076923,-129.3809524,41.96153846
washington/oregon,1996,-125.3333333,42.11538462,-131,42.76923077
washington/oregon,1996,-124.4285714,43.03846154,-131,43.84615385
washington/oregon,1996,-124.1428571,44.11538462,-129.7142857,44.76923077
washington/oregon,1996,-124,45.15384615,-130.8095238,45.76923077
washington/oregon,1996,-123.8571429,46.15384615,-128.9047619,46.69230769
washington/oregon,1996,-124.2857143,47.19230769,-126.952381,47.46153846
washington/oregon,1996,-129.2857143,41.96153846,-124.1904762,44.11538462
washington/oregon,1996,-131,42.69230769,-124,45.65384615
washington/oregon,1996,-130.952381,44.23076923,-124.1428571,46.92307692
washington/oregon,1996,-130.8095238,45.80769231,-124.8571429,48.03846154
washington/oregon,2005,-123.9723599,46.29770992,-125.5825284,46.67938931
washington/oregon,2005,-123.9767013,44.92366412,-130.1816143,46.06870229
washington/oregon,2005,-124.3605514,43.4351145,-130.8494628,44.69465649
washington/oregon,2005,-125.1705799,42.0610687,-130.9015593,43.20610687
washington/oregon,2005,-125.6447548,41.98473282,-123.9722393,46.33587786
washington/oregon,2005,-127.1612219,42.02290076,-124.8662012,48.39694656
washington/oregon,2005,-128.7723551,42.09923664,-127.6241815,45.49618321
washington/oregon,2005,-130.5734235,42.0610687,-128.9480602,46.48854962
california,2005,-124.4647444,40.45801527,-130.9062624,41.71755725
california,2005,-123.7589089,38.85496183,-130.910845,40.26717557
california,2005,-122.5319875,37.17557252,-129.967922,38.70229008
california,2005,-121.4477286,35.34351145,-129.0721513,37.21374046
california,2005,-117.4267694,32.97709924,-127.9408608,35.26717557
california,2005,-118.426492,31.5648855,-126.8092085,33.4351145
california,2005,-121.2729882,30.64885496,-125.8664062,31.83206107
california,2005,-123.0279898,30.19083969,-124.4956164,30.6870229
california,2005,-119.3756859,31.14503817,-118.6568262,33.66412214
