Study.ID,plot type
10,semi-permanent
13,permanent
19,semi-permanent
29,permanent
32,permanent
34,semi-permanent
55,semi-permanent
59,semi-permanent
67,permanent
79,permanent
126,permanent
130,semi-permanent
144,permanent
150,permanent
154,permanent
172,semi-permanent
181,permanent
193,permanent
208,semi-permanent
230,semi-permanent
238,permanent
298,permanent
300,semi-permanent
303,permanent
304,permanent
305,permanent
311,permanent
319,semi-permanent
329,semi-permanent
334,semi-permanent
337,permanent
355,permanent
360,permanent
363,semi-permanent
294,semi-permanent
420,semi-permanent
435,permanent
440,semi-permanent
516,permanent
554,permanent
595,permanent
599,semi-permanent
602,semi-permanent
604,permanent
607,permanent
620,permanent
621,permanent
641,semi-permanent
661,semi-permanent
663,permanent
691,semi-permanent
714,permanent
128,semi-permanent
139,permanent
166,permanent
183,permanent
185,permanent
192,semi-permanent
299,semi-permanent
307,semi-permanent
309,semi-permanent
314,semi-permanent
331,permanent
340,permanent
350,semi-permanent
364,permanent
372,semi-permanent
378,permanent
379,permanent
384,semi-permanent
415,permanent
422,permanent
424,permanent
441,semi-permanent
444,semi-permanent
459,permanent
463,semi-permanent
485,permanent
488,permanent
504,permanent
506,permanent
511,semi-permanent
518,semi-permanent
549,semi-permanent
581,permanent
621,permanent
625,permanent
638,semi-permanent
642,semi-permanent
653,semi-permanent
661,semi-permanent
2,permanent
6,permanent
10,sem-permanent
11,semi-permanent
14,semi-permanent
47,semi-permanent
70,permanent
122,permanent
181,permanent
254,permanent
268,permanent
291,semi-permanent
298,permanent
321,semi-permanent
395,permanent
422,permanent
423,permanent
450,semi-permanent
565,semi-permanent
469,permanent
477,semi-permanent
478,semi-permanent
538,semi-permanent
551,permanent
556,semi-permanent
561,unknown
575,semi-permanent
577,semi-permanent
579,semi-permanent
587,permanent
634,permanent
637,permanent
647,permanent
745,permanent
51,semi-permanent
435,semi-permanent
136,semi-permanent
158,semi-permanent
252,semi-permanent
327,permanent
347,semi-permanent
404,semi-permanent
446,semi-permanent
448,unknown
497,permanent
509,semi-permanent
519,permanent
524,permanent
547,permanent
557,permanent
571,permanent
576,permanent
596,semi-permanent
660,semi-permanent
672,permanent
693,permanent
705,semi-permanent
712,permanent
713,semi-permanent
744,unknown
453,permanent
53,unknown
92,semi-permanent
394,semi-permanent
362,permanent
