,subSiteID,Scale,dateR,rich,rich_sd,div,div_sd,abund,AbundUnitsOrig,study_sub_site,studyName,Reference,Source,Collector,Sys,Loc,studySub,protist,coral,plant,algae,fish,inverts,mobile.inverts,sessile.inverts,marine.mammals,phytoplankton,zooplankton,mesh.size,mesh.size.units,Descriptor.of.Taxa.Sampled,Vis,Trwl,Line,Drdg,Trp,PltSz,PltSzUnits,PltN,SiAreaCalc,SiLinearExtentUnits,site,Event,Event_type,Lat,Long,A_priori,Year_of_Event,study_site
1,Barrett_Gov_fished_S,gamma,1992-09-01,5.623,NA,NA,NA,NA,NA,Barrett-Barrett-Gov_fished,Barrett,"Barrett, 2007","Figure 5, 9, 12",ARW,rocky subtidal,Tasman Sea,Barrett,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,1,0,0,0,0,500,m2,4,2000,km,Gov_fished,No,None,-41.88,148.31,No,1991,Barrett-Gov_fished
2,Barrett_Gov_fished_S,gamma,1993-04-01,9.288,NA,NA,NA,NA,NA,Barrett-Barrett-Gov_fished,Barrett,"Barrett, 2007","Figure 5, 9, 12",ARW,rocky subtidal,Tasman Sea,Barrett,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,1,0,0,0,0,500,m2,4,2000,km,Gov_fished,No,None,-41.88,148.31,No,1991,Barrett-Gov_fished
3,Barrett_Gov_fished_S,gamma,1993-09-01,5.675,NA,NA,NA,NA,NA,Barrett-Barrett-Gov_fished,Barrett,"Barrett, 2007","Figure 5, 9, 12",ARW,rocky subtidal,Tasman Sea,Barrett,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,1,0,0,0,0,500,m2,4,2000,km,Gov_fished,No,None,-41.88,148.31,No,1991,Barrett-Gov_fished
4,Barrett_Gov_fished_S,gamma,1994-04-01,6.725,NA,NA,NA,NA,NA,Barrett-Barrett-Gov_fished,Barrett,"Barrett, 2007","Figure 5, 9, 12",ARW,rocky subtidal,Tasman Sea,Barrett,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,1,0,0,0,0,500,m2,4,2000,km,Gov_fished,No,None,-41.88,148.31,No,1991,Barrett-Gov_fished
5,Barrett_Gov_fished_S,gamma,1997-04-01,7.427,NA,NA,NA,NA,NA,Barrett-Barrett-Gov_fished,Barrett,"Barrett, 2007","Figure 5, 9, 12",ARW,rocky subtidal,Tasman Sea,Barrett,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,1,0,0,0,0,500,m2,4,2000,km,Gov_fished,No,None,-41.88,148.31,No,1991,Barrett-Gov_fished
6,Barrett_Gov_fished_S,gamma,1999-04-01,8.089,NA,NA,NA,NA,NA,Barrett-Barrett-Gov_fished,Barrett,"Barrett, 2007","Figure 5, 9, 12",ARW,rocky subtidal,Tasman Sea,Barrett,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,1,0,0,0,0,500,m2,4,2000,km,Gov_fished,No,None,-41.88,148.31,No,1991,Barrett-Gov_fished
7,Barrett_Gov_fished_S,gamma,2000-04-01,9.357,NA,NA,NA,NA,NA,Barrett-Barrett-Gov_fished,Barrett,"Barrett, 2007","Figure 5, 9, 12",ARW,rocky subtidal,Tasman Sea,Barrett,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,1,0,0,0,0,500,m2,4,2000,km,Gov_fished,No,None,-41.88,148.31,No,1991,Barrett-Gov_fished
8,Barrett_Gov_fished_S,gamma,2001-04-01,7.053,NA,NA,NA,NA,NA,Barrett-Barrett-Gov_fished,Barrett,"Barrett, 2007","Figure 5, 9, 12",ARW,rocky subtidal,Tasman Sea,Barrett,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,1,0,0,0,0,500,m2,4,2000,km,Gov_fished,No,None,-41.88,148.31,No,1991,Barrett-Gov_fished
9,Barrett_Gov_fished_S,gamma,2002-04-01,7.797,NA,NA,NA,NA,NA,Barrett-Barrett-Gov_fished,Barrett,"Barrett, 2007","Figure 5, 9, 12",ARW,rocky subtidal,Tasman Sea,Barrett,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,1,0,0,0,0,500,m2,4,2000,km,Gov_fished,No,None,-41.88,148.31,No,1991,Barrett-Gov_fished
10,Barrett_Gov_mpa_S,gamma,1992-09-01,8.63,NA,NA,NA,NA,NA,Barrett-Barrett-Gov_mpa,Barrett,"Barrett, 2007","Figure 5, 9, 12",ARW,rocky subtidal,Tasman Sea,Barrett,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,1,0,0,0,0,500,m2,4,2000,km,Gov_mpa,Yes,Fishing closure,-41.873,148.315,Yes,1991,Barrett-Gov_mpa
11,Barrett_Gov_mpa_S,gamma,1993-04-01,10.681,NA,NA,NA,NA,NA,Barrett-Barrett-Gov_mpa,Barrett,"Barrett, 2007","Figure 5, 9, 12",ARW,rocky subtidal,Tasman Sea,Barrett,0,0,0,0,1,0,0,0,0,0,0,NA,NA,fish,1,0,0,0,0,500,m2,4,2000,km,Gov_mpa,Yes,Fishing closure,-41.873,148.315,Yes,1991,Barrett-Gov_mpa
