"","Study.ID","Collector","problem"
"1",516,NA,"Need to enter spatial data into spatial data spreadsheet"
"2",469,"PK","Need to enter spatial data into spatial data spreadsheet"
"3",477,"PK","Need to enter spatial data into spatial data spreadsheet"
"4",362,"PK","Need to enter spatial data into spatial data spreadsheet"
"5",254,"PK","Need to enter spatial data into spatial data spreadsheet"
"6",252,"AH","Need to enter spatial data into spatial data spreadsheet"
"7",744,"AH","Need to enter spatial data into spatial data spreadsheet"
"8",742,"AH","Need to enter spatial data into spatial data spreadsheet"
"9",738,"AH","Need to enter spatial data into spatial data spreadsheet"
"10",734,"AH","Need to enter spatial data into spatial data spreadsheet"
"11",660,"AH","Need to enter spatial data into spatial data spreadsheet"
"12",576,"AH","Need to enter spatial data into spatial data spreadsheet"
"13",712,"AH","Need to enter spatial data into spatial data spreadsheet"
"14",713,"AH","Need to enter spatial data into spatial data spreadsheet"
"15",691,"AH","Need to enter spatial data into spatial data spreadsheet"
"16",238,"TI","Need to enter spatial data into spatial data spreadsheet"
"17",305,"TI","Need to enter spatial data into spatial data spreadsheet"
"18",172,"TI","Need to enter spatial data into spatial data spreadsheet"
"19",59,"TI","Need to enter spatial data into spatial data spreadsheet"
"20",34,"TI","Need to enter spatial data into spatial data spreadsheet"
"21",19,"TI","Need to enter spatial data into spatial data spreadsheet"
"22",595,"TI","Need to enter spatial data into spatial data spreadsheet"
"23",9,"TI","Need to enter spatial data into spatial data spreadsheet"
"24",363,"TI","Need to enter spatial data into spatial data spreadsheet"
"25",604,"TI","Need to enter spatial data into spatial data spreadsheet"
"26",565,"PK","Need to enter spatial data into spatial data spreadsheet"
"27",637,"PK","Need to enter spatial data into spatial data spreadsheet"
"28",577,"PK","Need to enter spatial data into spatial data spreadsheet"
"29",556,"PK","Need to enter spatial data into spatial data spreadsheet"
"30",579,"PK","Need to enter spatial data into spatial data spreadsheet"
"31",538,"PK","Need to enter spatial data into spatial data spreadsheet"
"32",6,"PK","Need to enter spatial data into spatial data spreadsheet"
"33",587,"PK","Need to enter spatial data into spatial data spreadsheet"
"34",47,"PK","Need to enter spatial data into spatial data spreadsheet"
"35",737,"AH","Need to enter spatial data into spatial data spreadsheet"
